"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",12307,213422,1881,32,10065,394,33
"青森県",391,8675,25,2,360,6,0
"岩手県",336,12981,107,3,211,18,0
"宮城県",1776,23979,354,6,1410,12,0
"秋田県",95,3951,4,0,90,1,0
"山形県",324,9645,104,5,217,3,0
"福島県",754,50452,182,5,561,11,0
"茨城県",2149,18301,244,11,1871,34,0
"栃木県",1039,66532,271,11,768,4,4
"群馬県",1950,47293,407,6,1494,32,17
"埼玉県",11789,287305,2085,34,9525,179,0
"千葉県",9172,206425,1280,20,7786,106,0
"東京都",51838,913711,5987,63,45284,567,0
"神奈川県",17039,318768,2019,57,14782,238,0
"新潟県",443,25787,70,0,373,3,3
"富山県",494,20063,27,1,441,26,0
"石川県",967,26934,84,0,837,50,4
"福井県",337,17495,13,1,313,11,0
"山梨県",488,14339,42,1,436,10,0
"長野県",1050,41682,111,5,910,11,18
"岐阜県",1748,56624,325,6,1400,23,0
"静岡県",2383,78035,539,9,1814,30,0
"愛知県",14127,171494,2252,35,11712,163,0
"三重県",1151,26913,166,4,970,15,0
"滋賀県",944,33729,92,1,841,11,0
"京都府",3782,82095,715,13,3046,43,22
"大阪府",27217,415640,3743,165,22968,490,16
"兵庫県",8204,123359,872,46,7199,133,0
"奈良県",1686,43109,267,10,1399,20,0
"和歌山県",582,15760,32,8,532,7,11
"鳥取県",69,21278,7,1,61,0,1
"島根県",181,8556,19,1,162,0,0
"岡山県",1111,27231,204,3,642,12,253
"広島県",2298,60968,380,12,1186,15,717
"山口県",468,24734,54,5,408,2,4
"徳島県",192,14337,4,0,178,9,1
"香川県",209,20614,23,0,183,3,0
"愛媛県",375,10873,43,4,321,11,0
"高知県",518,5353,177,3,336,5,0
"福岡県",7366,240793,1042,11,6210,114,0
"佐賀県",411,13513,41,1,372,3,5
"長崎県",400,34299,89,2,288,3,20,"G48の関数（=O47=★当日データ★!E49"
"熊本県",1446,30344,166,4,1150,13,117
"大分県",576,37321,89,5,482,5,0
"宮崎県",669,11785,82,1,587,5,5
"鹿児島県",875,34683,136,1,739,13,13
"沖縄県",4989,83981,291,6,4624,79,5
