都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,60796,1168870,81,0,59238,1472,5
青森県,5895,95969,5,1,5852,38,0
岩手県,3486,127134,0,0,3433,53,0
宮城県,16270,249913,12,1,16139,118,1
秋田県,1909,26983,6,0,1876,27,0
山形県,3551,104469,5,0,3490,56,0
福島県,9484,432112,4,2,9305,175,0
茨城県,24407,40491,18,1,24171,218,0
栃木県,15450,499582,12,1,15322,116,0
群馬県,16806,315919,56,0,16574,176,0
埼玉県,115642,1528554,116,13,114479,1047,0
千葉県,100352,1131316,80,1,99240,1026,6
東京都,381746,3847344,252,12,378339,3155,0
神奈川県,168951,1684739,111,8,167532,1308,0
新潟県,7996,296769,10,0,7925,61,0
富山県,4867,121480,7,0,4808,52,0
石川県,7963,201900,5,0,7808,129,21
福井県,3113,121283,6,0,3069,38,0
山梨県,5155,122749,0,0,5126,29,0
長野県,8876,336607,7,0,8828,97,56
岐阜県,19187,433060,83,1,18869,218,17
静岡県,26755,656577,14,0,26530,209,2
愛知県,106394,1387373,117,4,105121,1156,0
三重県,14806,248524,26,0,14942,163,325
滋賀県,12412,272109,17,0,12292,103,0
京都府,35900,440012,41,0,35563,291,5
大阪府,202614,3766041,401,41,197729,3053,1431
兵庫県,78507,789242,158,3,76953,1396,0
奈良県,15901,262798,37,0,15715,149,0
和歌山県,5295,66606,3,0,5125,62,105
鳥取県,1668,155239,2,0,1636,5,25
島根県,1726,59148,46,1,1675,5,0
岡山県,15362,283975,63,1,15131,136,32
広島県,22086,932963,58,0,21826,202,0
山口県,5751,197624,39,0,5619,93,0
徳島県,3287,108791,3,0,3219,65,0
香川県,4703,135089,0,0,4664,38,1
愛媛県,5396,161725,40,0,5274,82,0
高知県,4166,103172,7,0,4126,33,0
福岡県,74461,1317052,82,6,73753,622,4
佐賀県,5858,110143,9,0,5873,30,54
長崎県,6118,188868,12,0,6034,73,1
熊本県,14395,124358,4,1,14255,136,0
大分県,8186,279895,0,0,8102,84,0
宮崎県,6151,73035,6,0,6088,41,16
鹿児島県,9102,171720,1,0,9035,66,0
沖縄県,50266,411548,98,2,49750,396,22
