"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",44908,861588,1912,5,41447,1426,123
"青森県",2725,56702,122,0,2571,32,0
"岩手県",2025,94232,138,0,1840,47,0
"宮城県",9975,173017,333,3,9530,91,21
"秋田県",1024,17561,42,1,962,20,0
"山形県",2168,72276,80,0,2041,47,0
"福島県",5907,315100,643,10,5102,162,0
"茨城県",12834,35004,1323,6,11342,169,0
"栃木県",8462,351241,887,13,7488,87,0
"群馬県",8936,216646,632,4,8149,155,0
"埼玉県",58604,1095346,8754,56,49000,850,0
"千葉県",50731,792511,5239,36,44758,734,0
"東京都",223221,2832447,25431,114,195497,2293,0
"神奈川県",86292,1173743,8906,88,76397,989,0
"新潟県",4096,196677,421,2,3621,54,0
"富山県",2321,82493,188,1,2095,38,0
"石川県",5242,137521,828,5,4289,118,7
"福井県",1665,80121,220,0,1409,36,0
"山梨県",2457,72269,219,0,2218,21,1
"長野県",5370,227324,240,0,5107,94,71
"岐阜県",9825,295937,196,2,9441,188,0
"静岡県",11029,457647,1071,3,9801,157,0
"愛知県",54237,922462,1892,10,51337,1008,0
"三重県",5832,159799,297,4,5569,114,148
"滋賀県",6122,171028,370,3,5659,93,0
"京都府",18617,313314,1149,21,17099,249,120
"大阪府",115473,2492853,7028,219,104755,2722,968
"兵庫県",44304,560310,1812,23,41176,1316,0
"奈良県",9168,187872,453,9,8582,133,0
"和歌山県",3044,45437,236,13,2688,49,71
"鳥取県",813,99292,182,1,578,2,51
"島根県",749,36029,92,1,655,2,0
"岡山県",8329,183050,245,3,7612,127,345
"広島県",12206,594390,327,6,11619,179,81
"山口県",3309,130605,113,0,3116,80,0
"徳島県",1804,72851,80,1,1661,63,0
"香川県",2335,94552,184,0,2123,32,4
"愛媛県",2941,105846,127,3,2737,77,0
"高知県",2108,64615,115,6,1964,29,0
"福岡県",40162,925442,2975,14,36296,534,357
"佐賀県",2782,64684,125,0,2646,24,13
"長崎県",3507,137651,192,0,3247,69,1
"熊本県",7096,86160,498,0,6477,121,0
"大分県",3704,187025,160,0,3480,64,0
"宮崎県",3267,46053,116,0,3113,27,11
"鹿児島県",4019,120162,191,0,3808,39,19
"沖縄県",25337,285810,2789,68,22278,236,34
