"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",18402,347859,1003,16,16765,632,2
"青森県",794,16135,72,0,706,16,0
"岩手県",519,22189,19,1,471,29,0
"宮城県",3490,49624,97,7,3370,23,0
"秋田県",269,6879,26,0,238,5,0
"山形県",531,16500,35,0,481,15,0
"福島県",1818,96660,131,10,1626,61,0
"茨城県",5315,24378,472,15,4755,88,0
"栃木県",3938,116692,220,8,3660,58,0
"群馬県",4213,83749,307,11,3827,79,0
"埼玉県",27469,499404,2968,44,24047,454,0
"千葉県",24378,370038,2916,37,21131,331,0
"東京都",105765,1416039,5344,102,99307,1114,0
"神奈川県",43051,542742,1626,51,40832,593,0
"新潟県",993,39456,80,1,900,13,0
"富山県",886,33471,19,3,840,27,0
"石川県",1636,45181,216,1,1414,60,54
"福井県",528,28883,29,2,475,24,0
"山梨県",919,14741,18,1,885,16,0
"長野県",2345,90739,68,1,2265,39,27
"岐阜県",4541,117589,310,12,4142,89,0
"静岡県",4809,164992,211,2,4507,91,0
"愛知県",25016,353866,1434,38,23112,470,0
"三重県",2370,56417,208,11,2121,41,0
"滋賀県",2293,63616,173,6,2081,39,0
"京都府",8846,143753,673,5,8103,144,74
"大阪府",45707,711129,2289,144,41939,1045,434
"兵庫県",17377,224033,973,68,15933,471,0
"奈良県",3242,75362,163,6,3036,43,0
"和歌山県",1140,23338,61,8,1041,16,22
"鳥取県",207,37391,16,0,186,2,3
"島根県",280,13515,9,1,271,0,0
"岡山県",2438,60138,96,5,2300,26,16
"広島県",4924,139356,134,6,4683,98,9
"山口県",1349,52858,169,0,1147,33,0
"徳島県",423,23570,45,3,363,15,0
"香川県",716,41367,75,1,624,17,0
"愛媛県",1029,29571,52,1,955,22,0
"高知県",873,6995,20,1,836,17,0
"福岡県",17176,403560,1592,36,15358,226,0
"佐賀県",994,25910,48,1,959,6,19
"長崎県",1580,62534,135,2,1412,35,2
"熊本県",3403,55559,94,15,3226,67,16
"大分県",1251,72083,95,0,1138,18,0
"宮崎県",1906,24475,102,2,1775,20,9
"鹿児島県",1705,61179,82,5,1607,20,4
"沖縄県",7960,135770,451,3,7415,99,5
