都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,61910,1294019,320,0,60008,1475,107
青森県,5940,106781,38,0,5864,38,0
岩手県,3524,138371,37,0,3434,53,0
宮城県,16356,270337,42,0,16173,118,23
秋田県,1937,27703,3,0,1907,27,0
山形県,3637,116841,30,0,3551,56,0
福島県,9604,479148,83,0,9345,176,0
茨城県,24713,40625,224,0,24269,220,0
栃木県,15890,535298,291,0,15482,117,0
群馬県,17693,362913,321,1,17194,178,0
埼玉県,116953,1680208,917,1,114977,1059,0
千葉県,101368,1261657,461,0,99641,1028,238
東京都,386672,4261890,3814,4,379683,3175,0
神奈川県,170810,1868605,1012,1,168479,1319,0
新潟県,8481,336649,272,0,8146,63,0
富山県,4901,134217,32,0,4817,52,0
石川県,8100,216975,74,0,7866,138,22
福井県,3177,128836,60,0,3079,38,0
山梨県,5205,138818,42,0,5134,29,0
長野県,9237,375306,235,1,8916,97,11
岐阜県,19499,482298,146,0,19060,219,74
静岡県,27173,741868,322,0,26598,209,44
愛知県,107287,1538543,553,1,105573,1161,0
三重県,14884,276023,67,0,14983,163,329
滋賀県,12857,300437,367,0,12386,104,0
京都府,36819,482116,497,10,35861,292,169
大阪府,206431,4318024,2663,47,200703,3065,0
兵庫県,79260,881505,381,2,77481,1398,0
奈良県,16270,287960,320,0,15801,149,0
和歌山県,5335,69034,29,0,5137,62,107
鳥取県,1715,174333,46,0,1639,5,25
島根県,1862,66059,120,0,1737,5,0
岡山県,15720,310392,17,0,15421,136,146
広島県,23287,1010378,1093,1,21991,203,0
山口県,6639,222391,793,1,5753,93,0
徳島県,3317,118914,27,0,3225,66,1
香川県,4782,148047,75,0,4668,38,1
愛媛県,5489,176780,77,0,5330,82,0
高知県,4190,112567,23,0,4134,33,0
福岡県,75332,1464537,328,3,74148,627,229
佐賀県,6008,123984,68,0,5897,30,13
長崎県,6219,207827,96,0,6051,73,1
熊本県,14457,125342,34,0,14287,136,0
大分県,8242,314062,55,0,8103,84,0
宮崎県,6163,73188,10,0,6096,41,16
鹿児島県,9503,179489,201,0,9056,66,180
沖縄県,55897,454696,5335,17,50168,398,4
