"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",27511,567299,3261,26,23127,906,217
"青森県",1838,36421,297,5,1515,26,0
"岩手県",1122,62028,199,1,887,36,0
"宮城県",8361,126044,425,12,7846,74,16
"秋田県",620,11844,141,0,470,9,0
"山形県",1622,50582,127,6,1459,36,0
"福島県",3966,200141,604,23,3233,129,0
"茨城県",8680,31047,466,16,8079,135,0
"栃木県",5650,223235,283,4,5293,74,0
"群馬県",6842,147594,717,17,6016,109,0
"埼玉県",40289,796576,2699,49,36838,752,0
"千葉県",34691,563836,1362,17,32681,648,0
"東京都",148092,2105672,7169,81,139000,1923,0
"神奈川県",56253,845267,2097,51,53315,841,0
"新潟県",2646,118647,358,2,2261,27,0
"富山県",1428,54650,139,6,1257,32,0
"石川県",2957,75110,542,15,2325,88,2
"福井県",962,53134,85,1,844,33,0
"山梨県",1334,36365,126,3,1190,19,1
"長野県",4154,156344,300,7,3841,72,59
"岐阜県",6905,202486,894,12,5871,140,0
"静岡県",6938,312707,456,7,6353,129,0
"愛知県",37130,598686,4334,50,32140,656,0
"三重県",4216,104528,572,14,3657,93,106
"滋賀県",4257,111107,608,11,3582,67,0
"京都府",13813,228075,1618,30,12047,194,46
"大阪府",91184,1559121,21900,401,66587,1785,912
"兵庫県",35552,407485,4679,91,30076,797,0
"奈良県",7065,135346,920,26,6054,91,0
"和歌山県",2389,36154,217,40,2100,34,38
"鳥取県",404,65378,41,0,354,2,7
"島根県",385,21314,30,1,355,0,0
"岡山県",5257,108427,863,20,3492,49,853
"広島県",7100,307758,681,13,5963,111,345
"山口県",2170,82172,373,4,1748,49,0
"徳島県",1506,48215,227,8,1227,52,0
"香川県",1629,66175,376,4,1236,23,6
"愛媛県",2555,69556,269,7,2226,60,0
"高知県",1126,8584,58,3,1048,20,0
"福岡県",27608,648462,4517,51,22314,374,403
"佐賀県",2041,42582,339,3,1625,15,62
"長崎県",2563,98232,514,14,2006,46,3
"熊本県",4797,69306,670,16,4044,83,0
"大分県",2525,122075,688,3,1807,30,0
"宮崎県",2657,34771,439,4,2186,24,8
"鹿児島県",2649,88808,422,1,2175,28,24
"沖縄県",13263,198729,1153,13,11977,139,6
