"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",42168,815860,666,10,40061,1416,25
"青森県",2564,53611,30,0,2503,31,0
"岩手県",1835,90410,103,1,1685,47,0
"宮城県",9496,165253,265,3,9115,91,25
"秋田県",964,16564,43,1,901,20,0
"山形県",2081,68627,50,2,1984,47,0
"福島県",5155,296079,167,7,4827,161,0
"茨城県",11038,34230,347,5,10525,166,0
"栃木県",7337,316076,188,10,7067,82,0
"群馬県",8124,203483,71,3,7899,154,0
"埼玉県",49077,1020328,2128,23,46107,842,0
"千葉県",43076,733973,1678,17,40675,723,0
"東京都",186698,2662139,8078,53,176353,2267,0
"神奈川県",72114,1100250,2906,39,68239,969,0
"新潟県",3548,182160,107,1,3387,54,0
"富山県",2075,77808,29,2,2008,38,0
"石川県",4156,128544,195,1,3842,115,4
"福井県",1412,73970,73,0,1303,36,0
"山梨県",2176,65656,47,0,2108,21,0
"長野県",5075,216101,26,0,5031,94,76
"岐阜県",9555,282864,91,3,9277,187,0
"静岡県",9782,429699,391,4,9238,153,0
"愛知県",51879,876763,694,12,50192,993,0
"三重県",5423,152748,133,3,5316,113,139
"滋賀県",5672,160979,92,2,5490,90,0
"京都府",16966,296366,220,3,16459,249,38
"大阪府",106104,2301363,2117,109,100465,2703,819
"兵庫県",41540,530964,447,14,39783,1310,0
"奈良県",8558,178273,172,2,8254,132,0
"和歌山県",2724,42772,24,0,2593,49,58
"鳥取県",533,87649,40,0,472,2,19
"島根県",567,32936,14,0,551,2,0
"岡山県",7668,174589,39,1,7472,127,30
"広島県",11625,570271,79,4,11361,177,8
"山口県",3185,126574,28,1,3077,80,0
"徳島県",1679,67963,20,0,1596,63,0
"香川県",2128,89984,25,0,2077,31,5
"愛媛県",2783,100554,30,2,2678,75,0
"高知県",1937,58792,69,0,1839,29,0
"福岡県",36247,871970,531,8,35132,526,58
"佐賀県",2590,59973,16,0,2578,24,28
"長崎県",3256,130594,44,0,3145,69,2
"熊本県",6516,82714,31,2,6366,119,0
"大分県",3520,177563,25,0,3431,64,0
"宮崎県",3118,44922,14,0,3066,27,11
"鹿児島県",3763,114627,52,0,3701,39,29
"沖縄県",21661,266892,609,34,20843,215,6
