都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,1809,45969,111,2,1594,104,0
青森県,35,2104,2,0,32,1,0
岩手県,22,3307,5,0,17,0,0
宮城県,226,8111,33,0,191,2,0
秋田県,50,1816,3,0,47,0,0
山形県,78,3123,2,1,76,1,1
福島県,173,15569,48,2,125,0,0
茨城県,567,11063,59,3,494,14,0
栃木県,309,23568,20,3,290,1,2
群馬県,471,15322,65,0,387,19,0
埼玉県,4079,114213,463,11,3526,90,0
千葉県,3160,58263,352,10,2745,63,0
東京都,21475,344966,2371,28,18735,369,0
神奈川県,5285,120662,589,22,4570,126,0
新潟県,145,13153,8,0,137,0,0
富山県,401,9850,58,1,327,25,9
石川県,681,9173,127,2,517,37,0
福井県,241,8577,68,4,163,8,2
山梨県,174,9693,11,1,158,5,0
長野県,284,15619,71,0,217,1,5
岐阜県,564,18722,24,2,530,10,0
静岡県,487,26858,35,2,451,1,0
愛知県,4604,56596,605,18,3927,72,0
三重県,388,10081,50,3,336,2,0
滋賀県,459,9588,66,3,386,7,0
京都府,1512,32853,147,3,1340,25,0
大阪府,8900,142305,931,49,7801,161,7
兵庫県,2322,46127,136,8,2133,53,0
奈良県,531,15262,41,3,482,8,0
和歌山県,231,8730,3,0,221,4,3
鳥取県,22,4575,0,0,22,0,0
島根県,137,4949,1,0,136,0,0
岡山県,146,7049,4,-,141,-,1
広島県,459,18176,13,0,443,3,0
山口県,178,7153,75,0,103,0,0
徳島県,145,6190,63,2,73,4,5
香川県,82,8602,10,0,71,1,0
愛媛県,114,3855,1,0,107,6,0
高知県,130,3174,14,1,113,3,0
福岡県,4755,42536,734,13,3954,67,0
佐賀県,239,5259,15,0,225,0,1
長崎県,234,15279,24,0,201,3,6
熊本県,537,11869,59,1,460,7,11
大分県,153,13261,15,0,136,2,0
宮崎県,338,8161,22,0,316,1,1
鹿児島県,370,16322,49,1,302,11,8
沖縄県,2200,25134,354,11,1819,31,4
