"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",6684,122381,2113,19,4428,143,0
"青森県",280,6349,19,2,255,6,0
"岩手県",127,7560,93,1,34,0,0
"宮城県",1075,17396,185,8,881,9,0
"秋田県",74,3155,6,1,68,0,0
"山形県",107,7184,19,0,88,1,1
"福島県",474,37381,62,4,406,6,0
"茨城県",1205,15503,288,6,898,19,0
"栃木県",558,51487,59,5,499,2,2
"群馬県",1033,34203,93,1,919,21,0
"埼玉県",7499,217347,1002,17,6367,130,0
"千葉県",6308,154668,800,9,5422,86,0
"東京都",37317,707444,3615,40,33224,478,0
"神奈川県",11181,234414,1207,44,9790,184,0
"新潟県",295,20826,91,1,204,0,0
"富山県",441,16124,16,0,399,26,0
"石川県",833,20662,8,0,776,49,0
"福井県",300,13504,32,1,257,11,0
"山梨県",298,12801,50,2,241,7,0
"長野県",592,27741,175,0,416,6,5
"岐阜県",911,31292,136,0,762,13,0
"静岡県",1111,51416,339,3,768,4,0
"愛知県",8464,124076,1413,17,6947,104,0
"三重県",706,18271,105,5,594,7,0
"滋賀県",730,25024,92,0,629,9,0
"京都府",2409,60062,214,3,2160,35,0
"大阪府",17159,292105,2613,87,14250,277,19
"兵庫県",4485,83625,596,26,3810,79,0
"奈良県",975,29663,193,4,771,11,0
"和歌山県",379,12054,64,4,305,4,6
"鳥取県",53,6197,7,0,46,0,0
"島根県",142,6498,1,0,141,0,0
"岡山県",485,17220,109,3,310,11,55
"広島県",736,31670,48,0,679,6,3
"山口県",343,13795,109,2,228,2,4
"徳島県",178,7724,8,2,161,9,0
"香川県",129,15802,21,0,106,2,0
"愛媛県",186,5240,69,0,111,6,0
"高知県",146,3704,2,0,140,4,0
"福岡県",5513,189078,169,3,5238,106,0
"佐賀県",293,8789,18,0,276,1,2
"長崎県",254,25667,11,0,243,3,3,"G48の関数（=O47=★当日データ★!E49）"
"熊本県",951,22677,76,1,841,11,23
"大分県",209,24933,46,0,160,3,0
"宮崎県",414,8918,42,0,372,1,1
"鹿児島県",592,25683,48,0,537,13,6
"沖縄県",3967,67188,340,2,3564,68,5
