"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",16329,291357,1647,15,14173,557,48
"青森県",666,12316,84,3,573,9,0
"岩手県",484,18505,60,1,399,25,0
"宮城県",3118,45021,499,8,2597,22,0
"秋田県",229,5939,58,1,170,1,0
"山形県",455,12635,38,1,404,13,0
"福島県",1534,75119,312,8,1187,35,0
"茨城県",4109,21719,846,11,3216,47,0
"栃木県",3433,94672,1107,20,2326,29,29
"群馬県",3492,67507,525,13,2841,61,65
"埼玉県",22377,406570,5326,87,16759,292,0
"千葉県",19045,278979,5767,52,13084,194,0
"東京都",90659,1219217,19481,159,70417,761,0
"神奈川県",36326,449714,5390,110,30558,378,0
"新潟県",808,34092,143,1,665,7,7
"富山県",825,28417,105,3,693,27,0
"石川県",1393,37401,225,7,1156,56,44
"福井県",467,24647,75,4,378,13,1
"山梨県",869,14741,121,5,736,12,0
"長野県",2102,69017,377,4,1711,26,12
"岐阜県",3819,93535,628,15,3130,61,0
"静岡県",4092,126883,837,9,3190,65,0
"愛知県",21911,277893,3391,52,18179,341,0
"三重県",1882,35367,333,6,1524,25,0
"滋賀県",1868,50350,379,15,1469,20,0
"京都府",7253,117341,1616,21,5609,90,62
"大阪府",40058,589145,6131,174,33131,796,0
"兵庫県",14466,179493,2047,69,12098,321,0
"奈良県",2757,62725,402,13,2323,32,0
"和歌山県",948,19864,143,12,781,11,13
"鳥取県",186,31277,42,2,139,2,3
"島根県",242,11764,15,0,227,0,0
"岡山県",2183,43188,479,17,1434,16,254
"広島県",4505,107047,450,14,3906,77,72
"山口県",996,40022,307,2,740,5,56
"徳島県",337,18851,103,0,223,11,0
"香川県",568,33843,181,1,378,9,0
"愛媛県",891,19897,213,3,661,17,0
"高知県",813,6655,67,3,733,13,0
"福岡県",14100,334151,3819,27,10126,155,0
"佐賀県",858,20537,253,2,616,4,15
"長崎県",1334,51536,265,5,937,18,114,"G48の関数（=O47=★当日データ★!E4"
"熊本県",3076,48014,273,16,2243,45,515
"大分県",988,56749,159,3,817,12,0
"宮崎県",1678,20633,367,8,1304,14,7
"鹿児島県",1460,51028,224,2,1236,15,15
"沖縄県",6759,113829,796,7,5879,89,5
