都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,401653,2462170,12485,2,386749,2107,312
青森県,72602,284106,6166,0,66315,121,0
岩手県,43794,318833,4129,0,39565,100,0
宮城県,103721,657513,5870,1,97214,205,432
秋田県,35251,65670,2467,1,32712,72,0
山形県,33843,206429,2577,0,31167,99,0
福島県,72558,906566,4352,1,67978,228,0
茨城県,176991,1436109,6854,2,169680,457,0
栃木県,102216,796450,5928,0,96005,283,0
群馬県,108629,707376,6976,0,101327,326,0
埼玉県,630474,3097040,42151,8,586654,1669,0
千葉県,515053,2277930,16144,3,466801,1816,30292
東京都,1793464,7606785,136188,19,1652678,4598,0
神奈川県,870353,3386360,51244,34,816857,2252,0
新潟県,83467,718695,5182,0,78194,91,0
富山県,45053,271742,3836,0,41120,97,0
石川県,67266,541657,4877,1,62167,199,23
福井県,45002,357880,3875,0,41079,48,0
山梨県,38770,389640,2818,0,35907,69,24
長野県,85757,802769,4969,0,80331,206,251
岐阜県,122308,987945,8015,1,112920,354,1019
静岡県,202987,1383257,16347,0,185719,428,493
愛知県,634082,3039483,46419,4,585553,2110,0
三重県,99745,585201,7862,1,93773,318,2208
滋賀県,106388,709749,7105,2,99060,223,0
京都府,235964,908114,15573,30,218713,760,918
大阪府,1126870,7817373,83345,19,1038289,5236,0
兵庫県,492674,1746734,30206,9,460208,2260,0
奈良県,107750,569137,9620,4,97736,394,0
和歌山県,52605,198935,3913,0,48340,121,231
鳥取県,21383,457078,3196,0,17927,20,240
島根県,32583,259130,8117,0,24435,31,0
岡山県,113710,644258,3019,0,105212,252,5227
広島県,182972,2034185,9342,3,173130,500,0
山口県,56797,629555,5165,0,51449,183,0
徳島県,28011,240523,2352,2,25590,86,17
香川県,56559,304697,3878,1,52547,134,0
愛媛県,55515,416319,6865,2,48505,145,0
高知県,35010,340220,2649,1,32245,116,0
福岡県,514329,2997689,37563,0,465799,1298,9669
佐賀県,70467,316804,7605,0,59093,115,3654
長崎県,77050,477616,7101,1,69834,134,19
熊本県,142518,340560,16081,5,126105,332,0
大分県,71049,661703,7661,0,63214,174,0
宮崎県,70657,199892,7406,1,62995,152,104
鹿児島県,113143,480770,11493,1,100140,219,1291
沖縄県,299988,985887,28696,17,270716,497,79
