"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",2159,59459,136,0,1916,107,0
"青森県",37,2458,2,0,34,1,0
"岩手県",23,4282,1,0,23,0,1
"宮城県",425,10803,47,1,376,2,0
"秋田県",58,2145,0,0,53,0,5
"山形県",78,5195,1,0,77,1,1
"福島県",267,21106,42,3,221,4,0
"茨城県",676,12623,46,4,613,17,0
"栃木県",437,31518,38,0,396,1,2
"群馬県",728,22851,42,2,664,19,3
"埼玉県",4800,145670,334,5,4364,102,0
"千葉県",4047,96680,329,9,3646,72,0
"東京都",26484,470228,2110,26,23963,411,0
"神奈川県",7136,156859,526,16,6467,143,0
"新潟県",170,15659,4,0,166,0,0
"富山県",422,12509,11,1,385,26,0
"石川県",777,13530,34,0,696,47,0
"福井県",244,9872,0,0,231,11,2
"山梨県",193,10748,14,1,173,6,0
"長野県",313,19157,11,0,307,1,6
"岐阜県",630,23270,25,2,595,10,0
"静岡県",551,34985,29,1,520,2,0
"愛知県",5419,79108,309,13,5024,86,0
"三重県",527,13267,60,2,460,7,0
"滋賀県",505,12148,22,0,475,8,0
"京都府",1767,43228,67,3,1674,26,0
"大阪府",10809,190440,511,22,10072,218,8
"兵庫県",2783,58020,123,7,2601,59,0
"奈良県",581,20885,22,0,550,9,0
"和歌山県",242,9372,4,0,231,4,3
"鳥取県",36,5493,5,0,31,0,0
"島根県",140,5820,1,0,140,0,1
"岡山県",158,8110,8,"-",149,"-",1
"広島県",603,21121,106,0,491,3,3
"山口県",201,10079,6,1,193,2,0
"徳島県",149,6980,7,0,131,9,2
"香川県",93,10931,3,0,88,2,0
"愛媛県",115,4119,1,0,108,6,0
"高知県",138,3508,1,0,133,4,0
"福岡県",5054,135726,74,6,4881,99,0
"佐賀県",246,6156,2,0,246,0,2
"長崎県",238,18928,1,0,232,3,2,"G48の関数（"
"熊本県",607,16764,17,0,560,8,22
"大分県",158,17315,2,0,154,2,0
"宮崎県",344,8601,1,0,343,1,1
"鹿児島県",428,19261,38,0,379,12,1
"沖縄県",2588,40691,228,6,2317,47,4
