都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,61778,1290668,250,0,59983,1475,70
青森県,5928,106651,26,0,5864,38,0
岩手県,3514,137923,27,0,3434,53,0
宮城県,16325,269710,30,0,16171,118,6
秋田県,1936,27703,2,0,1907,27,0
山形県,3627,116841,21,0,3550,56,0
福島県,9575,479148,57,0,9342,176,0
茨城県,24612,40625,123,0,24269,220,0
栃木県,15821,534472,232,0,15472,117,0
群馬県,17599,362913,250,1,17171,178,0
埼玉県,116621,1676706,600,1,114962,1059,0
千葉県,101130,1256823,303,1,99628,1028,171
東京都,385448,4252189,2648,3,379625,3175,0
神奈川県,170456,1868605,663,2,168474,1319,0
新潟県,8379,336380,176,0,8140,63,0
富山県,4885,134217,16,0,4817,52,0
石川県,8084,216855,66,0,7859,137,22
福井県,3149,128423,32,0,3079,38,0
山梨県,5205,138818,42,0,5134,29,0
長野県,9126,375306,163,1,8908,97,42
岐阜県,19425,480819,93,0,19058,219,55
静岡県,27047,741868,187,0,26598,209,53
愛知県,107098,1538543,373,1,105564,1161,0
三重県,14858,276023,40,0,14983,163,328
滋賀県,12775,299470,291,0,12380,104,0
京都府,36650,480646,380,12,35818,292,160
大阪府,205545,4305940,1832,46,200649,3064,0
兵庫県,79116,878960,263,2,77455,1398,0
奈良県,16185,287960,237,0,15799,149,0
和歌山県,5327,68927,23,0,5136,62,106
鳥取県,1700,173552,31,0,1639,5,25
島根県,1822,66059,82,0,1735,5,0
岡山県,15653,310392,17,0,15421,136,79
広島県,22858,1010378,672,1,21983,203,0
山口県,6485,222391,658,1,5734,93,0
徳島県,3308,118508,18,0,3225,66,1
香川県,4760,147551,54,0,4667,38,1
愛媛県,5451,176633,39,0,5330,82,0
高知県,4186,112542,19,0,4134,33,0
福岡県,75103,1460850,199,3,74142,627,135
佐賀県,5950,123464,37,0,5894,30,11
長崎県,6188,206998,64,0,6052,73,1
熊本県,14457,125110,34,0,14287,136,0
大分県,8215,312759,28,0,8103,84,0
宮崎県,6163,73188,10,0,6096,41,16
鹿児島県,9323,178789,92,0,9055,66,110
沖縄県,54138,450643,3649,14,50095,398,4
