都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,348548,2210562,23212,6,324376,2050,1090
青森県,55035,241516,2310,0,52621,104,0
岩手県,33346,272834,2679,0,30580,87,0
宮城県,84401,568990,3735,2,80031,195,440
秋田県,29646,61517,1554,0,28026,66,0
山形県,27595,192361,1886,0,25617,92,0
福島県,61928,812002,3899,0,57811,218,0
茨城県,156312,1240444,3147,2,152730,435,0
栃木県,89617,740741,3275,4,86070,272,0
群馬県,92734,633771,3011,2,89407,316,0
埼玉県,543628,2795918,9738,1,532320,1570,0
千葉県,444569,2045327,8387,3,427808,1773,6601
東京都,1522000,6771424,39671,4,1477873,4456,0
神奈川県,744451,2180686,13283,8,728991,2177,0
新潟県,69646,637863,3450,1,66105,91,0
富山県,36398,244102,2395,1,33910,93,0
石川県,53390,434275,3785,1,49388,194,23
福井県,33857,320386,1713,0,32099,45,0
山梨県,31528,318457,846,0,30621,68,7
長野県,71429,712896,3251,0,67707,193,278
岐阜県,97913,867493,4458,0,92396,330,729
静岡県,165598,1224444,7592,0,157233,406,367
愛知県,527199,2669568,17431,5,507723,2045,0
三重県,80089,507221,3133,0,78563,298,1905
滋賀県,88690,625804,2936,0,85535,219,0
京都府,199280,818579,7644,5,190136,712,788
大阪府,959564,6974144,29811,20,924729,5024,0
兵庫県,415800,1539669,11759,5,401817,2227,3
奈良県,91060,508438,3484,1,87192,384,0
和歌山県,41201,170624,1415,0,39461,117,208
鳥取県,14502,387392,1076,1,13217,19,190
島根県,16463,202807,979,0,15469,15,0
岡山県,94911,568423,5287,0,85600,247,3777
広島県,150990,1847128,11699,0,138808,483,0
山口県,42881,555904,2583,1,40123,175,0
徳島県,21541,209596,1140,1,20322,81,2
香川県,46738,270040,2652,1,43963,123,0
愛媛県,38341,352107,1816,3,36386,139,0
高知県,26623,282783,2044,1,24468,111,0
福岡県,415367,2635857,15143,3,392175,1244,6805
佐賀県,51166,270867,1981,0,46457,105,2623
長崎県,53542,367768,3731,1,52580,124,2893
熊本県,95124,275873,5527,3,89310,287,0
大分県,52214,573970,2810,1,49245,159,0
宮崎県,50601,188225,4402,1,46134,141,76
鹿児島県,79533,404245,4772,0,73925,192,644
沖縄県,205410,821441,16407,15,188507,459,37
