都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,275161,2010034,22800,6,250148,1981,232
青森県,45337,216250,4775,0,40468,94,0
岩手県,25596,243285,3438,1,22075,83,0
宮城県,71016,506925,5358,4,64766,183,709
秋田県,23070,55809,2635,2,20383,52,0
山形県,22041,181903,2243,1,19713,85,0
福島県,48867,738084,5485,2,43179,203,0
茨城県,138915,45068,5329,2,133174,412,0
栃木県,77050,705585,7176,1,69611,263,0
群馬県,81391,585385,4407,1,76678,306,0
埼玉県,498103,2618434,19546,11,477128,1429,0
千葉県,411106,1921694,17842,8,383771,1731,7762
東京都,1407320,6367384,82782,14,1320233,4305,0
神奈川県,684280,2180686,22176,26,659988,2116,0
新潟県,57604,576585,4297,1,53216,91,0
富山県,31296,224591,1832,0,29374,90,0
石川県,41193,389422,3754,4,37227,189,23
福井県,25831,286368,1190,1,24596,45,0
山梨県,27523,274619,1309,0,26152,66,4
長野県,59079,640632,5036,0,53135,169,739
岐阜県,82170,790998,4833,0,76370,323,644
静岡県,142290,1133276,7284,2,133514,397,1095
愛知県,467084,2463255,24462,15,440611,2011,0
三重県,68532,464184,4578,0,65366,283,1695
滋賀県,78663,571364,4093,0,74360,210,0
京都府,175560,765210,8378,10,165586,698,898
大阪府,877018,6564083,34746,29,837357,4906,9
兵庫県,374069,1439863,12985,11,358908,2177,1
奈良県,83132,474306,7601,3,75166,365,0
和歌山県,34481,152150,1573,1,32604,112,192
鳥取県,11435,337492,1019,0,10257,14,145
島根県,12711,166688,1549,1,11148,14,0
岡山県,76409,520624,4573,3,69371,232,2233
広島県,119549,1662088,11746,4,107344,459,0
山口県,35365,517521,2020,1,33173,172,0
徳島県,18314,191228,661,0,17576,79,2
香川県,37241,246135,2945,0,34179,117,0
愛媛県,31519,321225,2401,3,28984,134,0
高知県,20420,238574,1391,1,18925,104,0
福岡県,355932,2411322,32718,13,314662,1189,7363
佐賀県,42053,242649,4220,0,34903,96,2834
長崎県,41440,332455,4343,3,38980,120,2003
熊本県,78057,252627,6198,2,71582,277,0
大分県,41190,523179,2685,0,38356,149,0
宮崎県,37462,173563,4702,0,32714,125,79
鹿児島県,59525,350681,5486,2,53075,175,789
沖縄県,152004,728900,11725,6,139822,445,12
