"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",20013,413527,701,4,18672,715,75
"青森県",877,22173,57,0,800,20,0
"岩手県",565,30213,10,0,525,30,0
"宮城県",4137,75895,375,4,3736,26,0
"秋田県",270,7194,2,0,262,6,0
"山形県",561,29610,22,0,524,15,0
"福島県",2211,128117,240,16,1874,97,0
"茨城県",6219,25292,283,4,5814,122,0
"栃木県",4305,157781,140,0,4096,69,0
"群馬県",4715,102718,120,2,4503,92,0
"埼玉県",31072,598686,1378,40,29018,676,0
"千葉県",28111,442572,1078,21,26513,520,0
"東京都",115884,1648040,2678,42,111601,1605,0
"神奈川県",46538,646160,939,23,44850,749,0
"新潟県",1196,46600,93,1,1087,16,0
"富山県",912,39129,9,2,875,28,0
"石川県",1887,56042,20,3,1803,62,2
"福井県",547,33668,3,0,519,25,0
"山梨県",953,28326,11,0,924,18,0
"長野県",2439,106507,62,0,2365,41,29
"岐阜県",4801,148096,63,8,4620,118,0
"静岡県",5429,222960,227,0,5097,105,0
"愛知県",26463,427593,489,17,25414,560,0
"三重県",2612,70180,82,4,2545,64,79
"滋賀県",2657,80226,146,6,2460,51,0
"京都府",9202,165293,157,1,8895,164,14
"大阪府",48459,899152,1017,61,45873,1158,411
"兵庫県",18507,271527,477,43,17464,566,0
"奈良県",3467,88594,72,5,3347,48,0
"和歌山県",1182,25163,14,2,1125,18,25
"鳥取県",210,44155,1,0,205,2,2
"島根県",285,16686,1,0,284,0,0
"岡山県",2588,72624,77,1,2441,34,36
"広島県",5066,169571,36,4,4927,103,0
"山口県",1393,62904,19,0,1331,43,0
"徳島県",464,28549,15,1,431,18,0
"香川県",769,47453,14,0,737,18,0
"愛媛県",1074,35168,15,1,1035,24,0
"高知県",909,7218,9,3,881,19,0
"福岡県",18523,476158,402,12,17805,316,0
"佐賀県",1144,30237,67,1,1088,10,21
"長崎県",1614,72105,2,0,1574,38,0
"熊本県",3474,57424,24,0,3379,74,3
"大分県",1299,86375,9,0,1268,22,0
"宮崎県",1953,24804,1,0,1923,22,7
"鹿児島県",1764,70027,8,1,1755,27,26
"沖縄県",8540,155117,299,2,8125,122,6
