"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",1769,43478,133,2,1533,103,0
"青森県",35,1982,2,0,32,1,0
"岩手県",19,2900,11,0,8,0,0
"宮城県",203,7721,12,0,189,2,0
"秋田県",49,1749,6,0,43,0,0
"山形県",78,3100,2,1,76,1,1
"福島県",158,14522,52,1,106,0,0
"茨城県",544,10496,66,2,465,13,0
"栃木県",303,22112,24,3,277,1,1
"群馬県",437,14090,90,0,328,19,0
"埼玉県",3904,104313,600,13,3215,89,0
"千葉県",3033,54796,432,10,2539,62,0
"東京都",20717,316316,2687,34,17670,360,0
"神奈川県",4912,110988,593,24,4201,118,0
"新潟県",142,12621,10,0,132,0,0
"富山県",385,7417,75,2,294,24,8
"石川県",624,7933,137,2,454,33,0
"福井県",211,7658,61,2,149,8,7
"山梨県",172,9415,22,1,147,3,0
"長野県",249,13898,87,0,155,"-",7
"岐阜県",555,17900,31,4,514,10,0
"静岡県",478,24082,63,1,414,1,0
"愛知県",4457,52636,749,18,3644,64,0
"三重県",365,9576,58,2,301,2,4
"滋賀県",444,8885,91,5,348,5,0
"京都府",1401,29864,225,1,1154,22,0
"大阪府",8491,133113,1310,61,7027,148,6
"兵庫県",2255,43874,185,15,2017,53,0
"奈良県",515,12972,61,3,449,5,0
"和歌山県",230,8592,11,0,212,4,3
"鳥取県",22,4535,0,0,22,0,0
"島根県",137,4851,4,0,133,0,0
"岡山県",145,5880,14,"-",128,"-",3
"広島県",457,17447,16,0,438,3,0
"山口県",164,6713,80,1,84,0,0
"徳島県",128,5778,70,2,51,4,3
"香川県",77,7898,7,0,69,1,0
"愛媛県",114,3769,7,0,101,6,0
"高知県",125,3036,19,1,103,3,0
"福岡県",4488,40258,870,12,3558,60,0
"佐賀県",237,5035,27,0,211,0,1
"長崎県",230,14346,27,1,180,3,20,"G48の関数（=O"
"熊本県",511,11236,70,0,420,7,14
"大分県",145,12102,17,0,127,1,0
"宮崎県",335,7943,37,0,298,1,1
"鹿児島県",361,15116,52,1,296,11,2
"沖縄県",2117,25614,446,11,1648,27,0
