"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",13540,240878,1680,19,11418,456,14
"青森県",492,9936,93,2,391,8,0
"岩手県",389,14448,63,3,302,24,0
"宮城県",2198,24825,450,3,1732,16,0
"秋田県",143,4565,40,0,102,1,0
"山形県",390,10179,80,6,303,7,0
"福島県",956,58133,240,5,695,21,0
"茨城県",2488,18572,303,7,2147,38,0
"栃木県",1534,72782,495,10,1039,6,6
"群馬県",2339,52671,330,10,1964,45,0
"埼玉県",14519,320485,3138,59,11171,210,0
"千葉県",11222,226083,2246,17,8855,121,0
"東京都",60960,996675,9468,88,50861,631,0
"神奈川県",21733,342311,3464,73,17993,276,0
"新潟県",545,28181,109,0,436,3,3
"富山県",560,21742,53,2,481,26,0
"石川県",1084,29937,121,7,920,51,8
"福井県",355,19409,17,0,325,12,1
"山梨県",568,14525,75,3,482,11,0
"長野県",1206,48235,164,4,1039,15,12
"岐阜県",2348,65635,574,13,1739,35,0
"静岡県",2713,88334,477,7,2195,41,0
"愛知県",16554,199918,2543,39,13797,214,0
"三重県",1297,30675,160,6,1119,18,0
"滋賀県",1199,37603,238,4,949,12,0
"京都府",4803,95241,962,14,3829,53,41
"大阪府",30261,469277,3671,165,26002,588,0
"兵庫県",10004,140507,1232,47,8561,211,0
"奈良県",2041,47698,371,12,1646,24,0
"和歌山県",629,16542,42,4,569,7,11
"鳥取県",119,24185,51,1,66,0,2
"島根県",209,9344,28,2,181,0,0
"岡山県",1390,31723,384,8,762,13,231
"広島県",3318,75233,609,18,2132,35,542
"山口県",589,26760,118,3,464,3,4
"徳島県",199,15356,7,0,183,9,0
"香川県",306,24380,91,0,212,3,0
"愛媛県",471,13700,91,3,367,13,0
"高知県",669,5968,107,8,554,8,0
"福岡県",8774,263231,1573,16,7272,119,190
"佐賀県",469,15020,62,1,409,3,5
"長崎県",611,39538,225,2,311,4,71,"G48の関数（=O47=★当日データ★!E49）"
"熊本県",1873,36058,196,7,1466,16,195
"大分県",700,43195,121,4,573,6,0
"宮崎県",759,12454,91,0,668,5,5
"鹿児島県",1016,39647,136,2,880,14,14
"沖縄県",5413,90097,398,7,4939,81,5
