都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,143675,1567950,29677,7,112517,1631,150
青森県,16328,147468,3366,0,12910,52,0
岩手県,7275,164979,1989,1,5231,55,0
宮城県,32343,359712,6250,11,25152,125,816
秋田県,7191,39467,1736,0,5426,29,0
山形県,9315,143212,2339,0,6917,59,0
福島県,20553,574000,3599,5,16772,182,0
茨城県,57504,43645,8694,12,48560,250,0
栃木県,37081,602440,6886,6,30043,152,0
群馬県,43835,459574,7500,10,36110,225,0
埼玉県,255167,2076483,40040,62,214005,1122,0
千葉県,220780,1510630,42659,31,172400,1155,4566
東京都,846120,5176940,173260,81,669506,3354,0
神奈川県,370452,2180686,52743,100,316241,1468,0
新潟県,24139,437324,4116,4,19958,65,0
富山県,12519,170722,4264,2,8199,56,0
石川県,19636,265531,3715,4,15744,154,23
福井県,9135,189883,1435,3,7662,38,0
山梨県,13430,173670,2176,3,11220,38,4
長野県,26318,481808,4634,1,20205,127,1352
岐阜県,43923,608464,7396,8,35285,248,994
静岡県,71210,911095,13399,4,56673,274,864
愛知県,253445,1906404,39516,43,212562,1367,0
三重県,33658,339392,6086,5,28250,211,889
滋賀県,37680,397947,8717,4,28843,120,0
京都府,102878,617814,24128,106,75762,345,2643
大阪府,537893,5312163,141867,747,392568,3455,3
兵庫県,209262,1154605,58372,53,149297,1617,24
奈良県,43356,375670,13407,21,29747,202,0
和歌山県,18677,107827,3596,8,14871,85,125
鳥取県,4919,231990,655,0,4184,5,75
島根県,5434,97893,722,0,4705,7,0
岡山県,41224,398255,6016,11,27673,171,7364
広島県,64734,1330077,19886,19,44528,320,0
山口県,17930,339555,2443,2,15376,111,0
徳島県,7729,144009,1474,0,6188,71,4
香川県,13878,184625,2810,2,10999,57,12
愛媛県,14205,238573,2038,5,12062,105,0
高知県,9800,160856,2187,16,7559,54,0
福岡県,194695,1885588,50982,20,137110,777,5826
佐賀県,18970,174098,3717,2,14105,48,1100
長崎県,21273,262607,5054,1,16683,95,559
熊本県,41545,181075,7746,19,33615,184,0
大分県,20042,397770,3051,0,16901,90,0
宮崎県,15954,116927,2295,1,13631,70,42
鹿児島県,25771,243803,4337,4,20766,99,569
沖縄県,92374,566319,5076,25,86871,421,6
