"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",1184,18301,115,11,977,92,0
"青森県",27,933,0,0,26,1,0
"岩手県",0,830,0,0,0,0,0
"宮城県",88,3372,0,0,87,1,0
"秋田県",16,975,0,0,16,0,0
"山形県",69,2491,1,1,68,0,0
"福島県",82,5874,3,0,79,0,0
"茨城県",168,5107,3,0,155,10,0
"栃木県",66,5889,1,0,65,0,0
"群馬県",151,4514,2,0,130,19,0
"埼玉県",1025,29050,22,3,951,52,0
"千葉県",922,16898,24,2,853,45,0
"東京都",5674,63083,340,19,5017,317,0
"神奈川県",1426,11724,62,9,1271,93,0
"新潟県",83,4686,1,0,81,0,1
"富山県",227,3766,0,0,205,22,0
"石川県",299,2857,25,2,247,27,0
"福井県",122,3132,0,0,114,8,0
"山梨県",72,5122,2,0,69,1,0
"長野県",76,3063,1,0,75,"-",0
"岐阜県",155,4518,5,2,143,7,0
"静岡県",79,3724,4,0,74,1,0
"愛知県",521,11523,11,0,470,34,6
"三重県",45,2687,0,0,44,1,0
"滋賀県",101,2148,2,1,98,1,0
"京都府",363,9329,4,0,341,18,0
"大阪府",1794,36520,28,7,1680,86,0
"兵庫県",699,13665,3,0,653,43,0
"奈良県",92,3491,0,0,90,2,0
"和歌山県",63,3874,0,0,60,3,0
"鳥取県",3,1437,0,0,3,0,0
"島根県",24,1208,1,1,23,0,0
"岡山県",25,1853,0,"-",25,"-",0
"広島県",168,7548,0,0,165,3,0
"山口県",37,2021,1,1,36,0,0
"徳島県",5,834,0,0,4,1,0
"香川県",28,2460,0,0,28,0,0
"愛媛県",82,2553,5,0,73,4,0
"高知県",74,1913,0,0,71,3,0
"福岡県",830,15245,39,3,763,28,0
"佐賀県",47,1579,0,0,47,0,0
"長崎県",17,3074,0,0,16,1,0
"熊本県",48,4153,0,0,45,3,0
"大分県",60,4531,0,0,59,1,0
"宮崎県",17,1504,0,0,17,0,0
"鹿児島県",11,2384,1,0,10,0,0
"沖縄県",142,2983,0,0,139,7,0
