"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",42010,809605,621,11,39961,1413,15
"青森県",2554,53220,28,0,2495,31,0
"岩手県",1820,89791,103,1,1670,47,0
"宮城県",9403,164378,185,2,9099,91,28
"秋田県",950,16395,39,1,891,20,0
"山形県",2072,68402,47,2,1978,47,0
"福島県",5124,293684,169,4,4794,161,0
"茨城県",10930,34131,286,5,10478,166,0
"栃木県",7298,314332,174,10,7042,82,0
"群馬県",8106,202122,60,3,7892,154,0
"埼玉県",48460,1012133,1725,25,45895,840,0
"千葉県",42546,726400,1476,16,40352,718,0
"東京都",184119,2642351,6864,54,174993,2262,0
"神奈川県",71265,1091507,2502,37,67797,966,0
"新潟県",3515,180217,91,0,3370,54,0
"富山県",2068,77309,26,2,2004,38,0
"石川県",4094,127358,141,1,3834,115,4
"福井県",1403,73603,81,1,1287,35,0
"山梨県",2173,62325,55,0,2097,21,0
"長野県",5070,215034,34,0,5018,94,76
"岐阜県",9530,281051,76,4,9267,187,0
"静岡県",9698,426424,356,5,9189,153,0
"愛知県",51735,869436,676,13,50072,987,0
"三重県",5392,148938,120,3,5298,113,139
"滋賀県",5651,159859,86,2,5475,90,0
"京都府",16896,294127,181,4,16422,247,46
"大阪府",105528,2278233,1824,116,100191,2698,815
"兵庫県",41386,527645,365,15,39711,1310,0
"奈良県",8519,177014,153,3,8234,132,0
"和歌山県",2716,42652,19,0,2590,49,58
"鳥取県",511,86932,17,0,470,2,22
"島根県",563,32023,9,0,552,2,0
"岡山県",7638,168599,22,1,7455,127,34
"広島県",11597,568107,70,5,11345,177,5
"山口県",3180,124469,31,1,3069,80,0
"徳島県",1673,67255,15,0,1595,63,0
"香川県",2123,89329,26,1,2071,31,5
"愛媛県",2764,98824,11,2,2678,75,0
"高知県",1914,58692,64,2,1822,28,0
"福岡県",36119,865638,470,9,35028,526,95
"佐賀県",2575,59484,11,0,2575,24,35
"長崎県",3236,129778,29,0,3138,69,0
"熊本県",6505,82642,27,1,6359,119,0
"大分県",3507,176047,18,0,3425,64,0
"宮崎県",3117,44833,17,0,3062,27,11
"鹿児島県",3747,114165,45,0,3697,39,34
"沖縄県",21525,262038,602,34,20718,211,6
