"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",23983,526440,1524,22,21501,856,102
"青森県",1553,32943,263,1,1268,22,0
"岩手県",901,55747,119,2,751,31,0
"宮城県",8013,156327,521,10,7413,66,13
"秋田県",452,10042,75,0,368,9,0
"山形県",1504,47220,179,4,1293,32,0
"福島県",3324,185804,353,11,2848,123,0
"茨城県",8098,29586,567,19,7398,133,0
"栃木県",5340,214252,252,2,5017,71,0
"群馬県",5937,136538,414,3,5419,104,0
"埼玉県",37656,750830,2322,34,34589,745,0
"千葉県",33017,539067,1216,19,31179,622,0
"東京都",138378,1997763,6536,58,129953,1889,0
"神奈川県",53295,800062,1881,39,50598,816,0
"新潟県",2273,107384,390,2,1861,22,0
"富山県",1304,51157,148,6,1127,29,0
"石川県",2467,70424,310,14,2084,71,2
"福井県",873,47111,148,2,692,33,0
"山梨県",1170,35312,91,1,1060,19,0
"長野県",3825,146049,342,4,3469,68,54
"岐阜県",5850,187829,460,3,5258,132,0
"静岡県",6435,290648,301,1,6013,121,0
"愛知県",32721,547913,2989,31,29105,627,0
"三重県",3713,91905,572,10,3158,81,98
"滋賀県",3683,102595,503,9,3119,61,0
"京都府",12112,210702,1404,18,10560,185,37
"大阪府",80145,1403098,18573,390,59399,1448,725
"兵庫県",30637,376101,4866,90,25099,672,0
"奈良県",6094,124213,999,26,4989,74,32
"和歌山県",2138,33674,327,55,1751,27,33
"鳥取県",369,61323,60,0,298,2,9
"島根県",347,19437,41,1,306,0,0
"岡山県",3872,95544,396,11,2907,37,532
"広島県",5845,249308,321,3,5382,109,33
"山口県",1823,82172,276,3,1503,44,0
"徳島県",1270,43108,346,7,882,42,0
"香川県",1233,61536,171,1,1046,22,6
"愛媛県",2312,58656,378,12,1897,37,0
"高知県",1026,7868,63,4,944,19,0
"福岡県",22784,597595,2723,22,19712,349,0
"佐賀県",1584,38381,214,3,1374,13,17
"長崎県",2057,91424,324,2,1703,41,11
"熊本県",4054,64366,419,9,3557,78,0
"大分県",1800,110857,419,1,1356,25,0
"宮崎県",2176,30168,125,1,2021,22,8
"鹿児島県",2090,81229,101,0,1961,28,0
"沖縄県",12404,153328,1147,12,11129,134,6
