"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",15502,274167,1578,10,13344,527,53
"青森県",622,11816,89,1,525,8,0
"岩手県",454,16693,67,1,362,25,0
"宮城県",2834,43195,502,8,2314,18,0
"秋田県",189,5211,32,0,156,1,0
"山形県",440,11642,52,2,376,12,0
"福島県",1373,68888,364,6,979,30,0
"茨城県",3617,20711,871,9,2705,41,0
"栃木県",3012,86920,1359,19,1653,17,17
"群馬県",3146,63526,628,11,2460,58,0
"埼玉県",19770,377375,5747,74,13765,258,0
"千葉県",15883,258017,4795,40,10928,160,0
"東京都",82069,1150773,19797,133,61555,717,0
"神奈川県",31563,412964,6139,101,25084,340,0
"新潟県",754,32371,185,1,569,5,5
"富山県",768,26823,159,3,583,26,0
"石川県",1287,35148,191,11,1070,53,27
"福井県",436,22547,72,4,351,12,1
"山梨県",816,14741,155,4,650,11,0
"長野県",1876,63438,472,4,1387,21,4
"岐阜県",3366,83213,675,17,2638,53,0
"静岡県",3705,106902,950,7,2694,61,0
"愛知県",20377,257837,3449,57,16623,305,0
"三重県",1717,35367,345,5,1349,23,0
"滋賀県",1698,45687,420,15,1260,18,0
"京都府",6463,111064,1429,19,5013,78,57
"大阪府",37002,550329,6417,187,29859,726,0
"兵庫県",12978,166607,1815,73,10865,298,0
"奈良県",2525,58339,393,12,2101,31,0
"和歌山県",836,18660,114,9,701,10,11
"鳥取県",173,29204,50,2,118,2,3
"島根県",233,10183,20,0,213,0,0
"岡山県",2002,35839,479,17,1434,16,73
"広島県",4270,99692,593,15,3485,66,126
"山口県",779,35818,160,2,610,5,4
"徳島県",284,17481,78,0,197,9,0
"香川県",514,31353,198,2,311,5,0
"愛媛県",786,18632,251,5,522,13,0
"高知県",761,6276,59,5,690,12,0
"福岡県",12349,308566,3234,23,8979,136,0
"佐賀県",733,18336,226,3,516,3,12
"長崎県",1157,47964,290,6,692,12,163,"G48の関数（=O47=★当日データ★!E49）"
"熊本県",2722,43346,271,20,1901,36,514
"大分県",897,52773,150,6,737,10,0
"宮崎県",1475,18888,485,6,990,11,11
"鹿児島県",1301,47627,244,3,1057,14,14
"沖縄県",6181,98894,579,7,5521,86,5
