都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,65970,1327234,3392,0,60528,1478,572
青森県,6718,111837,764,0,5915,39,0
岩手県,3638,141359,120,0,3465,53,0
宮城県,16978,277535,475,1,16261,118,124
秋田県,2171,29277,227,0,1917,27,0
山形県,3914,121599,269,0,3589,56,0
福島県,10057,492071,415,2,9466,176,0
茨城県,26515,41263,1648,2,24647,220,0
栃木県,17491,545932,1492,0,15880,119,0
群馬県,19831,380147,1975,1,17674,182,0
埼玉県,125644,1738035,8213,5,116371,1060,0
千葉県,108711,1303575,5471,0,100733,1029,1478
東京都,416738,4403078,27695,7,385864,3179,0
神奈川県,181837,1946680,9160,5,171356,1321,0
新潟県,10021,354205,1522,0,8436,63,0
富山県,5148,139069,221,0,4875,52,0
石川県,8646,223121,540,0,7945,139,22
福井県,3717,138415,435,0,3244,38,0
山梨県,5846,143310,573,0,5249,29,5
長野県,11164,399539,1554,1,9336,97,177
岐阜県,21265,502178,1348,0,19312,219,386
静岡県,30418,776013,3357,1,26397,210,454
愛知県,115206,1570281,7478,1,106563,1165,0
三重県,16303,279143,1391,0,15103,165,356
滋賀県,15007,310214,2123,0,12779,105,0
京都府,42085,500585,4153,41,36616,292,1024
大阪府,230805,4465130,22900,153,204835,3070,0
兵庫県,85535,912813,5076,1,79060,1400,1
奈良県,17942,304757,1555,4,16238,149,0
和歌山県,6426,74246,938,4,5310,62,116
鳥取県,1989,185752,267,0,1689,5,28
島根県,2608,69204,722,1,1881,5,0
岡山県,17319,329200,415,0,15445,136,1323
広島県,31632,1080377,8272,4,23153,207,0
山口県,8633,235060,1979,2,6560,94,0
徳島県,3542,122759,219,0,3263,66,6
香川県,5337,153427,547,0,4754,38,2
愛媛県,6835,185720,1308,1,5445,82,0
高知県,4407,119681,195,2,4179,33,0
福岡県,82482,1522813,5799,2,74717,628,1338
佐賀県,7204,132788,876,0,6031,30,267
長崎県,7618,215269,1376,0,6178,73,9
熊本県,17438,134247,1930,0,15370,138,0
大分県,9090,326201,781,0,8225,84,0
宮崎県,6998,77671,788,0,6151,41,18
鹿児島県,10840,188982,975,0,9563,66,236
沖縄県,69069,487907,11362,40,57315,398,6
