都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,257396,1959657,21338,6,234133,1964,39
青森県,42877,209613,4762,0,38022,93,0
岩手県,23308,235186,3516,0,19710,82,0
宮城県,67214,491157,6107,5,60371,180,556
秋田県,21182,54119,3018,3,18112,52,0
山形県,20585,179014,2093,1,18408,84,0
福島県,45009,717303,5582,0,39226,201,0
茨城県,133121,44951,7509,2,125206,406,0
栃木県,72646,695545,6646,1,65742,258,0
群馬県,78216,571643,4677,1,73236,303,0
埼玉県,481638,2571396,24774,13,455444,1420,0
千葉県,398672,1882057,21124,8,365830,1707,10011
東京都,1368766,6256562,98703,17,1265796,4267,0
神奈川県,663997,2180686,29719,21,632180,2098,0
新潟県,53930,558736,5715,0,48124,91,0
富山県,30472,220126,2149,0,28233,90,0
石川県,39246,372188,3356,3,35681,186,23
福井県,24471,278901,1361,1,23065,45,0
山梨県,26520,262958,1763,0,24705,64,12
長野県,54730,618110,5271,0,47223,169,2067
岐阜県,78253,770567,5269,1,72036,320,628
静岡県,136396,1066008,7837,0,126870,389,1300
愛知県,452032,2417403,25626,14,424410,1996,0
三重県,65124,451498,5288,1,61183,280,1627
滋賀県,76142,547955,4737,0,71201,204,0
京都府,169891,751268,8860,9,159426,688,917
大阪府,856087,6453078,42064,37,809141,4863,19
兵庫県,362753,1415390,15581,16,345014,2159,1
奈良県,81003,466067,9896,6,70750,357,0
和歌山県,32740,147417,1719,2,30729,111,181
鳥取県,10661,324854,854,0,9662,14,131
島根県,11561,156561,1348,0,10202,11,0
岡山県,72357,509607,4493,5,64966,230,2668
広島県,112739,1618942,12821,7,99462,456,0
山口県,33865,507518,2438,1,31257,170,0
徳島県,17750,187805,917,1,16764,79,10
香川県,34863,240143,2995,0,31752,116,0
愛媛県,29654,312570,2816,4,26704,134,0
高知県,19388,231250,1458,2,17828,102,0
福岡県,340508,2358504,37642,12,294658,1173,7035
佐賀県,38742,233709,3783,0,32047,95,2817
長崎県,38481,324085,4058,0,36073,118,1768
熊本県,73853,245975,5645,4,67932,276,0
大分県,38818,511523,3275,0,35396,147,0
宮崎県,34141,166241,5561,1,28534,122,76
鹿児島県,54540,336381,5767,2,47888,172,713
沖縄県,142330,704970,11491,12,130397,442,0
