"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",1323,24496,80,5,1141,102,0
"青森県",30,1201,4,0,25,1,0
"岩手県",0,1224,0,0,0,0,0
"宮城県",126,4914,25,0,100,1,0
"秋田県",16,1032,0,0,16,0,0
"山形県",75,2772,5,0,70,1,1
"福島県",84,8368,2,0,82,0,0
"茨城県",215,6066,19,2,186,10,0
"栃木県",112,10326,30,0,87,0,5
"群馬県",166,6443,11,0,136,19,0
"埼玉県",1668,50480,409,4,1192,67,0
"千葉県",1223,21977,210,0,967,46,0
"東京都",8933,134889,1698,10,6909,326,0
"神奈川県",1919,15233,262,9,1559,98,0
"新潟県",89,5578,5,0,83,0,1
"富山県",230,4533,2,0,206,22,0
"石川県",301,2983,5,1,269,27,0
"福井県",126,3844,4,0,114,8,0
"山梨県",77,6427,2,0,74,1,0
"長野県",83,5055,7,0,76,"-",0
"岐阜県",172,6398,14,1,151,7,0
"静岡県",102,9608,17,0,84,1,0
"愛知県",569,14781,49,0,486,34,0
"三重県",55,3227,7,0,46,1,1
"滋賀県",109,3177,5,1,103,1,0
"京都府",490,13461,77,0,395,18,0
"大阪府",2245,51997,286,4,1873,86,0
"兵庫県",777,18310,51,0,681,45,0
"奈良県",143,5045,41,0,100,2,0
"和歌山県",87,4864,14,1,70,3,0
"鳥取県",5,2195,2,0,3,0,0
"島根県",25,1536,1,0,24,0,0
"岡山県",34,2140,4,"-",28,"-",2
"広島県",198,8806,28,0,167,3,0
"山口県",41,2913,4,0,37,0,0
"徳島県",10,1314,5,0,4,1,0
"香川県",42,3287,4,0,28,0,10
"愛媛県",82,2707,0,0,77,5,0
"高知県",76,2103,2,0,71,3,0
"福岡県",953,18778,72,3,848,33,0
"佐賀県",47,1766,0,0,47,0,0
"長崎県",32,4519,15,0,16,1,0
"熊本県",50,4527,1,0,46,3,0
"大分県",60,5644,0,0,59,1,0
"宮崎県",20,1770,2,0,18,0,0
"鹿児島県",162,8156,74,0,88,0,0
"沖縄県",149,3457,5,0,141,7,0
