"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",945,8676,450,28,444,51,0
"青森県",27,749,"-","-",17,"-",10
"岩手県",0,417,0,0,0,0,0
"宮城県",88,2183,7,"-",80,1,0
"秋田県",16,861,"-","-",0,"-",16
"山形県",69,2449,11,"-",58,"-",0
"福島県",81,2395,36,"-",45,0,0
"茨城県",168,3826,71,3,78,9,10
"栃木県",56,2497,"-","-",32,"-",24
"群馬県",147,3056,63,2,66,18,0
"埼玉県",967,11917,377,11,548,42,0
"千葉県",880,12290,217,12,467,40,156
"東京都",4868,13124,2518,71,2170,180,0
"神奈川県",1150,1610,458,30,645,47,0
"新潟県",82,3396,35,"-",47,"-",0
"富山県",216,2709,126,"-",77,13,0
"石川県",278,2237,130,"-",132,16,0
"福井県",122,2082,0,2,94,8,20
"山梨県",56,2806,8,1,48,0,0
"長野県",74,2054,37,2,37,"-",0
"岐阜県",150,3482,22,1,122,6,0
"静岡県",73,3102,26,2,46,1,0
"愛知県",494,8133,107,"-",350,34,3
"三重県",45,2154,11,0,33,1,0
"滋賀県",97,1456,30,"-",66,1,0
"京都府",347,5267,107,"-",227,13,0
"大阪府",1743,21629,641,50,1031,59,12
"兵庫県",688,9091,168,24,486,34,0
"奈良県",90,2035,21,"-",67,2,0
"和歌山県",62,3364,12,"-",48,2,0
"鳥取県",3,1167,2,"-",1,0,0
"島根県",24,904,"-","-",11,"-",13
"岡山県",24,1372,8,"-",15,"-",1
"広島県",165,5746,81,"-",82,2,0
"山口県",37,1528,4,"-",33,"-",0
"徳島県",5,597,"-","-",3,1,1
"香川県",28,1841,8,0,20,0,0
"愛媛県",48,1238,7,2,38,3,0
"高知県",74,1583,7,0,64,3,0
"福岡県",654,10535,162,"-",468,24,0
"佐賀県",45,1226,21,1,22,0,2
"長崎県",17,2345,2,0,14,1,0
"熊本県",48,3415,27,2,18,3,0
"大分県",60,3482,"-","-",52,1,7
"宮崎県",17,1213,5,"-",12,"-",0
"鹿児島県",11,1500,"-","-",8,"-",3
"沖縄県",142,2483,45,5,92,5,0
