都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,75006,1371135,10155,0,62233,1480,1138
青森県,7911,117687,1589,0,6283,39,0
岩手県,3861,143766,250,0,3558,53,0
宮城県,18282,295517,1365,3,16610,118,189
秋田県,2623,31486,520,0,2076,27,0
山形県,4378,124733,598,0,3724,56,0
福島県,10786,502560,871,2,9739,176,0
茨城県,29958,42163,3757,0,25981,220,0
栃木県,20008,557959,3081,0,16806,121,0
群馬県,23313,396042,3859,4,19270,184,0
埼玉県,141111,1799169,17953,7,122097,1061,0
千葉県,121563,1344002,13028,2,104741,1036,2758
東京都,471650,4547646,66663,12,401802,3185,0
神奈川県,203352,2004792,23953,14,178071,1328,0
新潟県,12955,375021,3301,1,9591,63,0
富山県,5662,143821,594,0,5016,52,0
石川県,9913,231127,1641,0,8111,140,21
福井県,4361,145646,663,0,3660,38,0
山梨県,6830,151221,1156,0,5650,29,5
長野県,13843,415921,2402,1,10622,97,722
岐阜県,24224,522337,3331,0,20250,220,423
静岡県,36145,800993,7717,2,28050,210,168
愛知県,132689,1611113,21052,3,110467,1170,0
三重県,18428,288826,2633,0,16027,168,400
滋賀県,17991,324375,4131,0,13755,105,0
京都府,50112,526069,9661,43,39147,294,1010
大阪府,267486,4647266,50143,268,214264,3079,0
兵庫県,100523,954249,15666,4,83455,1403,1
奈良県,20738,319327,3421,10,17165,152,0
和歌山県,8090,80716,2147,6,5760,64,119
鳥取県,2501,194775,648,0,1816,5,32
島根県,3561,75360,1341,1,2214,6,0
岡山県,20441,343602,1689,0,15815,136,2801
広島県,39731,1134668,15195,7,24319,217,0
山口県,10541,256718,2719,1,7727,95,0
徳島県,3907,126719,455,0,3389,66,3
香川県,6321,160007,1302,0,4981,39,1
愛媛県,8268,199201,1973,3,6213,82,0
高知県,4887,124098,556,4,4298,33,0
福岡県,95055,1582021,15567,1,76216,633,2639
佐賀県,8694,140509,1781,0,6568,32,313
長崎県,10271,224753,3524,0,6684,74,11
熊本県,21468,143705,3290,4,18039,139,0
大分県,10855,337925,2035,0,8736,84,0
宮崎県,8740,85711,2332,0,6349,41,18
鹿児島県,12738,200057,2129,0,10269,66,274
沖縄県,75927,513855,10225,41,65280,399,23
