"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",21433,463328,854,20,19797,764,18
"青森県",1119,26605,184,0,915,20,0
"岩手県",713,47379,119,0,564,30,0
"宮城県",6716,98132,1395,12,5285,36,0
"秋田県",311,7952,32,2,273,6,0
"山形県",1106,38147,238,2,851,17,0
"福島県",2699,158163,300,12,2282,117,0
"茨城県",6954,27153,302,2,6525,127,0
"栃木県",4825,178375,223,2,4508,70,24
"群馬県",5156,117956,203,4,4852,101,0
"埼玉県",33766,669909,1572,32,31485,709,0
"千葉県",30279,489361,1041,14,28657,581,0
"東京都",123905,1813266,3821,41,118295,1789,0
"神奈川県",48893,718132,992,23,47112,789,0
"新潟県",1620,88121,226,2,1376,18,0
"富山県",994,43059,68,0,897,29,0
"石川県",1987,61980,89,1,1831,65,2
"福井県",628,37904,65,1,536,27,0
"山梨県",996,32134,33,1,944,19,0
"長野県",3030,123848,266,0,2693,42,29
"岐阜県",5056,164797,162,3,4765,129,0
"静岡県",5871,257268,227,0,5525,119,0
"愛知県",27980,481186,999,6,26387,594,0
"三重県",2896,79034,232,2,2676,72,84
"滋賀県",2893,90248,175,3,2660,58,0
"京都府",9844,182629,459,4,9234,173,22
"大阪府",56626,1109497,6185,158,48766,1199,476
"兵庫県",21208,310281,1964,76,18648,596,0
"奈良県",4183,100693,568,7,3560,55,0
"和歌山県",1422,27787,189,8,1190,18,25
"鳥取県",281,51026,69,0,206,2,4
"島根県",289,18022,3,0,286,0,0
"岡山県",2804,81422,82,3,2575,36,111
"広島県",5221,182720,106,1,5003,106,6
"山口県",1443,68811,37,0,1363,43,0
"徳島県",624,33830,140,4,464,20,0
"香川県",947,53708,164,0,767,19,3
"愛媛県",1595,42675,447,4,1124,24,0
"高知県",937,7503,29,1,889,19,0
"福岡県",19211,522388,393,6,18485,333,0
"佐賀県",1240,33147,67,0,1179,13,19
"長崎県",1646,79565,19,0,1588,39,0
"熊本県",3530,58455,30,2,3426,74,0
"大分県",1328,95534,24,1,1282,22,0
"宮崎県",1966,24930,21,1,1924,22,1
"鹿児島県",1886,75119,67,0,1803,28,12
"沖縄県",10194,169174,963,3,9108,129,6
