"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",19787,406538,711,3,18380,704,8
"青森県",844,21392,29,0,795,20,0
"岩手県",558,29279,3,0,525,30,0
"宮城県",3953,73977,281,5,3647,25,0
"秋田県",269,7148,1,0,262,6,0
"山形県",553,28967,16,0,522,15,0
"福島県",2169,124720,237,10,1842,90,0
"茨城県",6149,25169,329,3,5699,121,0
"栃木県",4242,154935,134,1,4040,68,0
"群馬県",4664,100905,134,3,4441,89,0
"埼玉県",30644,587090,1460,48,28539,645,0
"千葉県",27724,437739,1160,23,26062,502,0
"東京都",114840,1623032,2657,37,110622,1561,0
"神奈川県",46189,634658,1015,26,44437,737,0
"新潟県",1174,46600,89,1,1069,16,0
"富山県",909,38443,8,1,873,28,0
"石川県",1879,54937,24,1,1792,62,1
"福井県",546,33231,2,0,519,25,0
"山梨県",946,28326,6,0,923,17,0
"長野県",2399,104247,34,0,2356,41,32
"岐阜県",4790,146038,74,9,4600,116,0
"静岡県",5373,217367,229,1,5042,102,0
"愛知県",26317,419863,513,24,25253,551,0
"三重県",2593,70180,86,4,2523,63,79
"滋賀県",2635,78219,169,6,2418,48,0
"京都府",9173,163509,183,1,8841,164,15
"大阪府",48094,872121,956,61,45575,1150,413
"兵庫県",18334,266138,402,34,17369,563,0
"奈良県",3443,87064,82,5,3313,48,0
"和歌山県",1172,24983,6,1,1124,18,24
"鳥取県",210,43462,1,0,205,2,2
"島根県",284,16686,0,0,284,0,0
"岡山県",2571,72624,77,1,2441,34,19
"広島県",5058,168924,33,3,4922,103,0
"山口県",1389,62904,23,0,1324,42,0
"徳島県",464,28233,20,1,426,18,0
"香川県",767,47048,18,0,731,18,0
"愛媛県",1073,35150,17,1,1032,24,0
"高知県",908,7217,18,3,871,19,0
"福岡県",18388,468856,404,16,17675,309,0
"佐賀県",1136,29580,78,1,1068,10,20
"長崎県",1613,71181,3,0,1573,37,0
"熊本県",3469,57235,28,1,3366,73,2
"大分県",1297,85075,7,0,1268,22,0
"宮崎県",1953,24803,6,0,1918,22,7
"鹿児島県",1762,69460,10,1,1752,27,27
"沖縄県",8445,152149,285,1,8044,122,6
