都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,60779,1165140,92,1,59216,1471,0
青森県,5895,95435,6,1,5851,38,0
岩手県,3486,126613,0,0,3433,53,0
宮城県,16269,249233,11,1,16139,118,1
秋田県,1908,26975,7,0,1874,27,0
山形県,3549,104192,6,0,3487,56,0
福島県,9483,430214,3,2,9305,175,0
茨城県,24405,40491,17,2,24170,218,0
栃木県,15448,498747,11,1,15321,116,0
群馬県,16804,313899,64,0,16564,176,0
埼玉県,115626,1522657,115,16,114465,1046,0
千葉県,100340,1127486,78,2,99224,1025,13
東京都,381707,3826296,322,14,378233,3152,0
神奈川県,168921,1676333,118,8,167495,1308,0
新潟県,7996,295355,14,0,7921,61,0
富山県,4867,120680,8,0,4807,52,0
石川県,7963,201786,6,0,7806,129,22
福井県,3113,121164,9,0,3066,38,0
山梨県,5155,121233,1,0,5125,29,0
長野県,8874,335096,13,0,8820,97,56
岐阜県,19161,431583,67,1,18858,218,18
静岡県,26747,654024,12,0,26526,209,0
愛知県,106371,1377194,135,4,105080,1156,0
三重県,14803,244929,30,0,14934,163,324
滋賀県,12410,271579,25,0,12282,103,0
京都府,35892,438958,43,1,35553,291,5
大阪府,202562,3748298,457,42,197607,3047,1451
兵庫県,78471,785969,172,3,76904,1395,0
奈良県,15895,261708,40,0,15706,149,0
和歌山県,5295,66544,4,0,5124,62,105
鳥取県,1668,154908,5,0,1633,5,25
島根県,1724,57507,47,1,1672,5,0
岡山県,15332,276298,33,1,15099,136,64
広島県,22077,931067,55,0,21820,202,0
山口県,5744,197624,37,0,5614,93,0
徳島県,3287,108411,4,0,3218,65,0
香川県,4703,134943,1,0,4663,38,1
愛媛県,5391,159766,47,0,5262,82,0
高知県,4166,103172,9,1,4125,32,0
福岡県,74447,1312709,78,6,73744,621,4
佐賀県,5857,109765,11,0,5868,30,52
長崎県,6117,188340,17,0,6027,73,0
熊本県,14392,124349,7,1,14249,136,0
大分県,8186,279159,2,0,8100,84,0
宮崎県,6151,73032,6,0,6088,41,16
鹿児島県,9102,171520,1,0,9035,66,0
沖縄県,50243,410485,90,0,49735,395,23
