都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,60453,1119244,192,0,58801,1469,9
青森県,5805,89889,127,2,5640,38,0
岩手県,3486,122479,4,0,3429,53,0
宮城県,16246,241476,36,2,16089,117,4
秋田県,1893,26736,15,0,1851,27,0
山形県,3512,99473,8,0,3448,56,0
福島県,9465,413302,18,2,9272,175,0
茨城県,24321,40366,116,8,23988,217,0
栃木県,15392,485946,100,3,15176,116,0
群馬県,16665,298869,73,3,16418,174,0
埼玉県,115285,1467813,534,28,113734,1017,0
千葉県,100088,1080946,393,22,98660,1010,25
東京都,376902,3689092,1268,55,372590,3044,0
神奈川県,168484,1612718,622,30,166575,1287,0
新潟県,7959,288570,75,2,7823,61,0
富山県,4838,115462,40,1,4747,51,0
石川県,7919,195646,45,0,7724,128,22
福井県,3091,117530,24,1,3030,37,0
山梨県,5141,111974,10,0,5102,29,0
長野県,8810,320037,53,0,8715,96,54
岐阜県,18968,411873,176,3,18783,216,207
静岡県,26695,625523,49,1,26401,209,36
愛知県,105893,1319770,546,14,104199,1148,0
三重県,14715,263303,102,3,14771,163,321
滋賀県,12331,257656,65,1,12164,102,0
京都府,35742,424030,249,13,35194,287,12
大阪府,201307,3516399,1629,166,194999,3007,1672
兵庫県,77963,753335,509,14,76063,1392,1
奈良県,15769,251372,99,3,15521,149,0
和歌山県,5280,65502,21,0,5093,62,104
鳥取県,1651,147846,11,0,1612,5,23
島根県,1633,55076,12,0,1616,5,0
岡山県,15192,266922,79,1,14937,136,40
広島県,21821,889244,132,4,21490,199,0
山口県,5659,186064,65,0,5503,91,0
徳島県,3279,104535,19,0,3195,65,0
香川県,4693,129372,13,1,4642,38,0
愛媛県,5280,152883,96,1,5102,82,0
高知県,4123,99090,14,2,4078,31,0
福岡県,74209,1259989,491,17,73088,618,12
佐賀県,5803,104429,39,1,5784,29,49
長崎県,6047,180490,47,0,5928,73,1
熊本県,14333,123147,50,4,14148,135,0
大分県,8174,265892,51,1,8039,84,0
宮崎県,6146,72926,14,0,6075,41,16
鹿児島県,9081,168370,22,0,9055,65,61
沖縄県,49915,396977,275,4,49249,345,46
