"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",14997,263853,1574,12,12895,514,14
"青森県",569,11295,70,2,491,8,0
"岩手県",434,15881,65,2,344,25,0
"宮城県",2663,26684,485,9,2161,17,0
"秋田県",176,5141,28,0,147,1,0
"山形県",435,11313,61,3,364,10,0
"福島県",1276,65886,355,9,891,30,0
"茨城県",3277,20147,749,9,2488,40,0
"栃木県",2699,83003,1313,16,1386,16,16
"群馬県",2948,60650,551,12,2303,54,40
"埼玉県",18435,360741,4925,67,13260,250,0
"千葉県",14973,251064,4667,31,10163,143,0
"東京都",77133,1108973,19029,144,57413,691,0
"神奈川県",28941,394794,6021,93,22601,319,0
"新潟県",697,31404,162,0,535,3,3
"富山県",729,24346,162,3,541,26,0
"石川県",1239,33404,189,7,1023,52,25
"福井県",399,21414,39,1,347,12,1
"山梨県",754,14741,155,4,588,11,0
"長野県",1733,59649,459,9,1237,18,19
"岐阜県",3122,77826,703,16,2372,47,0
"静岡県",3427,106902,851,8,2523,53,0
"愛知県",19616,232728,3323,49,16014,279,0
"三重県",1611,32398,308,4,1281,22,0
"滋賀県",1594,43691,408,13,1170,16,0
"京都府",6079,105473,1453,16,4604,76,54
"大阪府",35306,525287,5850,171,28766,690,0
"兵庫県",12240,159971,1489,74,10477,274,0
"奈良県",2416,55725,385,9,2001,30,0
"和歌山県",786,17926,121,6,646,8,11
"鳥取県",165,28173,63,2,97,2,3
"島根県",227,10183,20,1,207,0,0
"岡山県",1892,35839,327,9,1241,15,309
"広島県",4127,94467,687,16,3152,58,230
"山口県",729,32146,149,2,572,4,4
"徳島県",265,16695,67,0,189,9,0
"香川県",447,29422,163,2,280,4,0
"愛媛県",721,16239,252,3,456,13,0
"高知県",740,6179,72,4,656,12,0
"福岡県",11558,293925,3037,19,8391,130,0
"佐賀県",640,17108,169,1,478,3,10
"長崎県",1056,45608,272,9,628,8,148,"G48の関数（=O47=★当日データ★!E49）"
"熊本県",2429,40894,246,17,1767,34,382
"大分県",852,49653,156,4,687,9,0
"宮崎県",1340,17590,504,4,836,10,10
"鹿児島県",1260,45378,248,2,1012,14,14
"沖縄県",5971,96914,548,6,5344,84,5
