"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",966,9160,432,24,472,62,0
"青森県",27,767,6,0,21,0,0
"岩手県",0,430,0,0,0,0,0
"宮城県",88,2322,7,0,80,1,0
"秋田県",16,898,1,0,15,0,0
"山形県",69,2481,11,2,58,0,0
"福島県",81,2562,29,"-",52,0,0
"茨城県",168,4008,49,2,93,9,17
"栃木県",56,2535,18,5,32,0,6
"群馬県",147,3119,58,2,71,18,0
"埼玉県",970,13327,285,9,642,43,0
"千葉県",885,12793,303,12,542,40,0
"東京都",4987,13640,1890,56,2901,196,0
"神奈川県",1193,2721,404,34,732,57,0
"新潟県",82,3533,31,0,50,0,1
"富山県",221,2858,101,2,105,15,0
"石川県",283,2354,114,4,150,19,0
"福井県",122,2139,18,2,96,8,0
"山梨県",56,3027,7,1,49,0,0
"長野県",75,2216,25,2,50,"-",0
"岐阜県",150,3526,17,1,127,6,0
"静岡県",73,3165,15,2,57,1,0
"愛知県",495,8492,92,4,369,34,0
"三重県",45,2153,10,0,34,1,0
"滋賀県",97,1490,24,1,72,1,0
"京都府",352,5652,88,3,251,13,0
"大阪府",1750,17308,587,50,1101,61,1
"兵庫県",694,9289,148,20,512,34,0
"奈良県",90,2035,20,0,68,2,0
"和歌山県",63,3392,10,0,49,3,1
"鳥取県",3,1198,2,0,1,0,0
"島根県",24,926,12,1,12,0,0
"岡山県",25,1397,6,"-",18,"-",1
"広島県",165,6051,74,3,89,2,0
"山口県",37,1557,4,"-",33,"-",0
"徳島県",5,635,0,0,4,1,0
"香川県",28,1875,7,0,21,0,0
"愛媛県",48,1284,6,0,39,3,0
"高知県",74,1594,6,0,65,3,0
"福岡県",655,11413,153,11,477,24,1
"佐賀県",45,1265,20,0,23,0,2
"長崎県",17,2405,2,0,14,1,0
"熊本県",48,3547,21,2,24,3,0
"大分県",60,3540,5,0,54,1,0
"宮崎県",17,1250,5,0,12,"-",0
"鹿児島県",11,1544,3,0,8,0,0
"沖縄県",142,2535,30,4,106,6,0
