"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",27090,563175,2933,24,22928,901,328
"青森県",1813,35847,304,5,1483,26,0
"岩手県",1104,61476,198,1,870,36,0
"宮城県",8353,124673,425,11,7846,74,8
"秋田県",601,11745,132,0,460,9,0
"山形県",1608,50457,122,6,1450,36,0
"福島県",3928,197723,612,21,3187,129,0
"茨城県",8607,31023,449,15,8023,135,0
"栃木県",5628,222943,283,4,5272,73,0
"群馬県",6768,146386,711,16,5950,107,0
"埼玉県",40011,790652,2499,46,36761,751,0
"千葉県",34574,562276,1386,17,32546,642,0
"東京都",147167,2094353,7177,78,138070,1920,0
"神奈川県",55976,838313,2105,48,53034,837,0
"新潟県",2591,117734,352,1,2214,25,0
"富山県",1420,54039,141,7,1248,31,0
"石川県",2916,74543,532,14,2294,88,2
"福井県",960,51959,101,1,826,33,0
"山梨県",1314,36365,117,3,1179,19,1
"長野県",4129,155089,309,6,3805,72,57
"岐阜県",6778,199162,843,10,5797,138,0
"静岡県",6873,307663,413,6,6333,127,0
"愛知県",36706,596578,4192,47,31861,653,0
"三重県",4171,104528,576,16,3610,91,106
"滋賀県",4202,110722,584,13,3551,67,0
"京都府",13717,226809,1614,30,11956,193,46
"大阪府",90213,1552182,21498,407,66111,1730,874
"兵庫県",35282,404076,5018,98,29486,778,0
"奈良県",6994,133423,927,25,5979,88,0
"和歌山県",2370,35947,230,44,2068,34,38
"鳥取県",401,64952,35,0,353,2,11
"島根県",379,21314,29,1,350,0,0
"岡山県",5124,108427,863,20,3492,49,720
"広島県",6932,297855,668,11,5897,111,256
"山口県",2121,82172,338,5,1734,49,0
"徳島県",1493,47560,237,11,1205,51,0
"香川県",1593,65670,365,4,1211,23,6
"愛媛県",2533,68915,271,8,2205,57,0
"高知県",1123,8565,68,3,1035,20,0
"福岡県",27205,641547,4319,48,22080,372,434
"佐賀県",1996,42005,339,3,1588,14,55
"長崎県",2529,97712,515,7,1972,45,3
"熊本県",4730,68889,641,16,4006,83,0
"大分県",2466,119805,679,3,1759,28,0
"宮崎県",2604,34301,405,4,2168,23,8
"鹿児島県",2597,81722,417,2,2141,28,11
"沖縄県",13131,197765,1089,10,11909,139,6
