都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,259509,1964534,21299,6,236289,1965,44
青森県,43171,209960,4741,0,38337,93,0
岩手県,23648,235186,3512,1,20054,82,0
宮城県,67629,492050,6128,6,60906,180,415
秋田県,21429,54119,2909,3,18468,52,0
山形県,20770,179014,2078,1,18608,84,0
福島県,45455,717303,5444,0,39810,201,0
茨城県,134092,44951,7057,3,126628,407,0
栃木県,73066,697067,6426,1,66381,259,0
群馬県,78563,571643,4436,1,73823,304,0
埼玉県,484206,2574689,23384,13,459402,1420,0
千葉県,400580,1882057,21124,8,365830,1711,11915
東京都,1373986,6256562,96162,17,1273552,4272,0
神奈川県,667231,2180686,27487,21,637639,2105,0
新潟県,54531,559205,5483,0,48957,91,0
富山県,30568,220126,2080,0,28398,90,0
石川県,39516,372754,3374,5,35933,186,23
福井県,24652,279486,1243,1,23364,45,0
山梨県,26520,262958,1763,0,24705,64,12
長野県,55466,618110,5950,0,47443,169,1904
岐阜県,78616,771318,5280,1,72653,320,363
静岡県,137278,1066008,7771,0,126870,389,2248
愛知県,454506,2417403,25732,14,426777,1997,0
三重県,65647,451498,5208,1,61801,280,1642
滋賀県,76581,549645,4752,0,71625,204,0
京都府,170745,752869,8806,9,160397,688,854
大阪府,858794,6468202,41162,38,812750,4868,14
兵庫県,364793,1419441,15861,16,346773,2160,1
奈良県,81429,466067,10181,4,70891,357,0
和歌山県,32986,148230,1700,2,30993,111,182
鳥取県,10770,326427,881,0,9741,14,134
島根県,11681,156561,1342,1,10328,11,0
岡山県,72934,509607,4493,5,64966,230,3245
広島県,113890,1618942,13385,7,100048,457,0
山口県,34057,507518,2376,1,31511,170,0
徳島県,17822,187933,880,1,16871,79,8
香川県,35216,240751,3057,0,32043,116,0
愛媛県,29851,312829,2635,4,27082,134,0
高知県,19517,231379,1476,1,17939,102,0
福岡県,342504,2363971,38539,12,296110,1176,6679
佐賀県,38990,234626,3910,0,32430,95,2555
長崎県,38802,324814,4163,0,36316,118,1795
熊本県,73853,245975,5645,4,67932,276,0
大分県,39092,511673,3150,0,35795,147,0
宮崎県,34689,167534,5179,1,29464,122,76
鹿児島県,55202,336381,5918,2,48450,172,662
沖縄県,143645,706596,11353,11,131853,442,3
