都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,546808,2701024,59488,6,485025,2237,58
青森県,107443,327671,13493,0,93793,157,0
岩手県,69366,374068,9510,0,59727,129,0
宮城県,173968,752182,26545,11,144758,247,2418
秋田県,58751,69427,13305,3,45363,83,0
山形県,56488,219141,10731,1,45650,117,10
福島県,104996,983888,16626,4,88135,235,0
茨城県,259270,1477266,21905,8,236853,512,0
栃木県,160174,864677,26901,8,132933,340,0
群馬県,157580,783045,47244,3,118718,380,8762
埼玉県,918032,3506041,81232,38,834985,1815,0
千葉県,737023,2547441,66042,19,633518,2018,35445
東京都,2568265,8479072,262571,42,2300793,4901,0
神奈川県,1205748,4000427,70904,71,1132360,2484,0
新潟県,147092,815662,21638,2,125351,103,0
富山県,76926,305272,14409,7,62402,115,0
石川県,104625,628369,15353,3,89038,211,23
福井県,75034,402678,11426,3,63548,60,0
山梨県,63378,443620,9207,0,54163,89,81
長野県,133562,887705,15906,3,114667,227,2762
岐阜県,194812,1112719,27744,3,163852,402,2814
静岡県,333628,1563542,45528,13,275276,531,12293
愛知県,972048,3422292,133059,35,836667,2322,0
三重県,162758,669849,26604,1,138921,380,3147
滋賀県,162561,815994,25628,3,136677,256,0
京都府,357005,1053942,68236,80,283196,802,4771
大阪府,1632483,8679153,212719,60,1414137,5627,0
兵庫県,738509,2078168,90625,38,645453,2441,10
奈良県,159210,643902,35922,11,122854,434,0
和歌山県,88144,253816,12183,1,75487,165,309
鳥取県,38598,569344,7736,1,30446,34,382
島根県,54311,307215,8256,0,45997,58,0
岡山県,175742,723970,20921,11,140502,298,14021
広島県,268117,2221351,47069,10,220498,550,0
山口県,98934,707582,18109,4,80593,232,0
徳島県,47815,266801,8200,4,39537,98,20
香川県,90661,345597,13782,3,76687,192,0
愛媛県,98350,503674,20178,6,77979,193,0
高知県,58569,386929,11353,11,47057,159,0
福岡県,809748,3463874,104544,23,685214,1488,18502
佐賀県,109653,365273,13764,0,88936,160,6793
長崎県,128054,581787,34661,3,98917,173,5697
熊本県,229616,434793,30712,15,198471,433,0
大分県,118938,762030,15082,5,103646,210,0
宮崎県,126787,219491,22360,5,103805,213,409
鹿児島県,194051,601645,29262,7,161003,300,3486
沖縄県,420401,1080267,32618,22,386855,537,391
