"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",43403,840183,1159,7,40830,1424,10
"青森県",2628,55274,59,0,2538,31,0
"岩手県",1933,92458,101,0,1785,47,0
"宮城県",9711,169842,190,2,9416,91,14
"秋田県",997,17203,29,1,948,20,0
"山形県",2098,70409,22,0,2029,47,0
"福島県",5419,305219,266,11,4991,162,0
"茨城県",11707,34605,582,5,10958,167,0
"栃木県",7790,322493,418,9,7288,84,0
"群馬県",8377,210837,225,2,7997,155,0
"埼玉県",53321,1062741,4570,39,47905,846,0
"千葉県",46480,765825,2892,23,42857,731,0
"東京都",203568,2756386,14372,82,186917,2279,0
"神奈川県",78137,1140554,4597,57,72558,982,0
"新潟県",3814,190499,248,3,3512,54,0
"富山県",2178,80604,101,3,2039,38,0
"石川県",4692,133960,494,1,4072,116,10
"福井県",1503,77472,90,0,1377,36,0
"山梨県",2279,69775,90,0,2168,21,0
"長野県",5173,223067,84,0,5068,94,73
"岐阜県",9674,290643,118,2,9368,188,0
"静岡県",10355,444768,639,2,9561,155,0
"愛知県",52808,907731,999,11,50804,1005,0
"三重県",5615,156553,184,4,5458,114,141
"滋賀県",5836,166815,155,1,5588,93,0
"京都府",17627,305489,499,8,16783,249,96
"大阪府",110483,2410967,3894,155,102973,2719,897
"兵庫県",42600,546551,921,20,40364,1315,0
"奈良県",8823,183938,258,5,8432,133,0
"和歌山県",2829,43747,78,2,2640,49,62
"鳥取県",672,95348,121,1,508,2,41
"島根県",683,33691,111,0,570,2,0
"岡山県",7926,178588,104,1,7518,127,177
"広島県",11877,586633,173,3,11485,179,40
"山口県",3227,128696,45,0,3102,80,0
"徳島県",1748,70972,55,0,1631,63,1
"香川県",2171,92293,46,0,2097,32,4
"愛媛県",2861,103056,76,3,2708,77,0
"高知県",2009,62127,56,4,1924,29,0
"福岡県",37617,901081,1149,9,35703,532,233
"佐賀県",2655,62231,54,0,2601,24,24
"長崎県",3360,134231,105,0,3187,69,1
"熊本県",6705,83912,166,0,6418,121,0
"大分県",3582,182770,65,0,3453,64,0
"宮崎県",3180,45489,62,0,3080,27,11
"鹿児島県",3878,116620,100,2,3760,39,21
"沖縄県",23201,276698,1445,44,21497,233,26
