都道府県名,PCR検査陽性者,PCR検査実施人数,入院治療等を要する者 (人),うち重症,退院又は療養解除となった者の数 (人),死亡(累積) (人),確認中(人)
北海道,700340,2972556,36781,4,662961,2504,1906
青森県,149065,399866,10984,0,137820,261,0
岩手県,100304,433328,4743,3,95385,176,0
宮城県,243107,861514,21695,5,204624,350,16438
秋田県,90584,73249,17739,1,72655,190,0
山形県,94822,243982,7309,0,87345,178,10
福島県,171341,1114921,10466,1,160624,251,0
茨城県,340506,1654084,20475,8,301424,627,17980
栃木県,209490,929096,14652,5,194377,461,0
群馬県,217173,858861,11957,2,207115,455,2354
埼玉県,1124638,3814861,29608,17,1092779,2251,0
千葉県,895523,2764314,37084,13,834872,2408,21159
東京都,3042647,9105951,89842,32,2947169,5636,0
神奈川県,1417537,4487314,35037,34,1379601,2899,0
新潟県,215896,914205,9971,3,205794,131,0
富山県,119431,347441,8001,0,111266,164,0
石川県,150759,731078,8126,1,142347,263,23
福井県,105615,440509,4212,0,101309,94,0
山梨県,89739,499562,4347,1,85276,140,24
長野県,191003,986062,8874,1,180663,320,1146
岐阜県,275455,1240885,12185,6,261354,537,1379
静岡県,460618,1740667,18856,3,433267,707,7788
愛知県,1284901,3918580,62013,25,1220133,2755,0
三重県,234733,784998,10351,3,226621,491,2730
滋賀県,218007,916769,10957,5,206750,300,0
京都府,454719,1170745,32551,59,419258,969,1941
大阪府,2009334,9407132,92028,55,1911065,6241,0
兵庫県,958828,2385886,32121,19,923951,2763,7
奈良県,214460,711332,51353,4,162598,509,0
和歌山県,125129,306594,4158,4,120429,233,309
鳥取県,58497,677257,9311,4,44778,67,4341
島根県,76853,345574,6558,1,70208,87,0
岡山県,255045,802467,17566,4,228698,386,8395
広島県,396601,2573285,59812,7,336089,700,0
山口県,152485,800588,5979,2,146145,361,0
徳島県,87507,280288,3794,5,83568,159,14
香川県,132466,389804,6871,3,125324,271,0
愛媛県,151449,599458,7119,2,144048,282,0
高知県,93450,465217,9098,7,84076,276,0
福岡県,1038813,3816130,49958,13,969678,1850,17327
佐賀県,149983,377021,12997,1,125171,210,11605
長崎県,202198,709061,22685,3,177499,311,1703
熊本県,311512,522511,19174,10,291749,589,0
大分県,166511,861519,5182,3,161007,322,0
宮崎県,184164,236241,8583,8,174582,331,668
鹿児島県,282187,719688,10166,9,269680,494,1847
沖縄県,489591,1159430,9713,16,478807,669,402
