"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",4221,94853,1094,11,3012,115,0
"青森県",274,6004,59,2,210,5,0
"岩手県",30,5725,5,0,26,0,1
"宮城県",872,15374,189,5,677,6,0
"秋田県",68,2667,7,1,60,0,1
"山形県",89,6831,7,0,81,1,0
"福島県",418,33183,38,3,374,6,0
"茨城県",834,14373,64,1,752,18,0
"栃木県",503,46544,19,4,484,1,1
"群馬県",932,30881,38,2,874,20,0
"埼玉県",6363,199115,606,8,5644,113,0
"千葉県",5434,137000,411,6,4940,83,0
"東京都",33060,641107,2135,33,30460,465,0
"神奈川県",9474,214729,712,20,8584,178,0
"新潟県",200,18628,18,0,182,0,0
"富山県",425,15366,2,0,397,26,0
"石川県",824,18907,17,0,758,49,0
"福井県",266,11730,10,0,245,11,0
"山梨県",243,12161,27,1,210,6,0
"長野県",387,24812,44,0,342,6,5
"岐阜県",755,28212,78,0,665,12,0
"静岡県",772,46257,111,1,659,2,0
"愛知県",6869,109029,756,15,6015,98,0
"三重県",599,16342,40,2,552,7,0
"滋賀県",625,14966,73,0,543,9,0
"京都府",2174,55334,129,1,2015,30,0
"大阪府",14120,257164,1278,58,12567,256,19
"兵庫県",3538,73509,269,16,3200,69,0
"奈良県",754,26411,103,0,640,11,0
"和歌山県",291,10767,16,2,266,4,5
"鳥取県",51,6013,14,0,37,0,0
"島根県",141,6281,0,0,141,0,0
"岡山県",341,11198,118,2,185,6,32
"広島県",678,29061,23,1,650,5,0
"山口県",231,11960,18,1,211,2,0
"徳島県",170,7603,6,0,155,9,0
"香川県",107,14353,5,0,100,2,0
"愛媛県",117,4468,1,0,110,6,0
"高知県",144,3680,0,0,140,4,0
"福岡県",5307,173880,99,4,5104,104,0
"佐賀県",274,7808,18,0,257,1,2
"長崎県",249,23873,4,0,241,3,1,"G48の関数（=O47=★当日データ★!E49）"
"熊本県",860,21086,51,1,788,9,12
"大分県",161,22162,2,0,156,3,0
"宮崎県",373,8828,3,1,370,1,1
"鹿児島県",537,24022,67,0,467,13,10
"沖縄県",3561,61958,264,2,3237,65,5
