"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",20260,422107,673,7,18826,725,36
"青森県",890,22763,64,0,806,20,0
"岩手県",583,40721,25,0,528,30,0
"宮城県",4411,78128,545,3,3839,27,0
"秋田県",274,7258,6,0,262,6,0
"山形県",594,30221,49,0,529,16,0
"福島県",2267,131975,246,13,1918,103,0
"茨城県",6344,25439,319,5,5902,123,0
"栃木県",4390,162281,163,0,4157,70,0
"群馬県",4783,105705,143,3,4546,94,0
"埼玉県",31452,608688,1426,39,29349,677,0
"千葉県",28453,451576,1104,18,26813,536,0
"東京都",116919,1673912,2819,46,112470,1630,0
"神奈川県",46901,657502,1035,20,45104,762,0
"新潟県",1245,75404,115,1,1114,16,0
"富山県",915,39826,8,2,879,28,0
"石川県",1891,57302,15,2,1811,63,2
"福井県",550,33950,4,0,521,25,0
"山梨県",955,29599,12,0,925,18,0
"長野県",2496,107932,94,0,2389,41,28
"岐阜県",4820,150312,58,6,4642,120,0
"静岡県",5464,228845,176,0,5179,109,0
"愛知県",26579,436037,481,12,25533,565,0
"三重県",2634,73145,80,2,2567,66,79
"滋賀県",2681,82109,122,6,2508,51,0
"京都府",9236,168878,103,3,8970,165,2
"大阪府",48905,928890,1209,56,46142,1162,392
"兵庫県",18734,276462,593,47,17569,572,0
"奈良県",3491,90358,78,6,3364,49,0
"和歌山県",1191,25337,22,2,1127,18,24
"鳥取県",210,44847,0,0,205,2,3
"島根県",285,17152,1,0,284,0,0
"岡山県",2607,75671,76,6,2479,35,17
"広島県",5070,172867,35,4,4932,103,0
"山口県",1397,64978,18,0,1336,43,0
"徳島県",466,29151,14,2,434,18,0
"香川県",776,48415,18,0,740,18,0
"愛媛県",1077,36331,16,1,1037,24,0
"高知県",912,7305,11,3,882,19,0
"福岡県",18638,484461,425,11,17891,322,0
"佐賀県",1155,30611,60,2,1105,11,21
"長崎県",1615,73213,1,0,1576,38,0
"熊本県",3485,57531,26,0,3387,74,2
"大分県",1300,87932,9,0,1269,22,0
"宮崎県",1953,24807,0,0,1924,22,7
"鹿児島県",1766,70498,8,1,1758,27,27
"沖縄県",8661,156296,344,3,8200,123,6
