"都道府県名","PCR検査陽性者","PCR検査実施人数","入院治療等を要する者 (人)","うち重症","退院又は療養解除となった者の数 (人)","死亡(累積) (人)","確認中(人)"
"北海道",41658,796567,500,14,39725,1411,22
"青森県",2538,52103,52,0,2455,31,0
"岩手県",1754,88085,86,1,1621,47,0
"宮城県",9247,160164,120,1,9021,90,16
"秋田県",929,16100,56,1,853,20,0
"山形県",2032,67236,16,1,1969,47,0
"福島県",5029,288230,167,4,4701,161,0
"茨城県",10730,33825,241,6,10323,166,0
"栃木県",7192,310392,201,9,6909,82,0
"群馬県",8066,198427,36,3,7876,154,0
"埼玉県",47469,991949,1416,23,45218,835,0
"千葉県",41478,710685,1218,16,39545,715,0
"東京都",179252,2588450,5685,60,171321,2246,0
"神奈川県",69262,1067857,1973,33,66330,959,0
"新潟県",3457,176747,71,0,3334,52,0
"富山県",2056,75836,23,1,1995,38,0
"石川県",3994,125567,67,1,3808,115,4
"福井県",1347,71074,101,1,1211,35,0
"山梨県",2139,58651,55,0,2063,21,0
"長野県",5054,211667,39,0,4999,93,77
"岐阜県",9480,276650,53,4,9240,187,0
"静岡県",9502,416933,275,6,9075,152,0
"愛知県",51380,851450,600,12,49802,978,0
"三重県",5306,145510,73,3,5259,113,139
"滋賀県",5599,156635,70,3,5439,90,0
"京都府",16728,289333,149,5,16314,246,19
"大阪府",104339,2216829,1360,125,99489,2690,800
"兵庫県",41113,518152,276,15,39528,1309,0
"奈良県",8414,173592,126,7,8156,132,0
"和歌山県",2700,42385,21,3,2572,49,58
"鳥取県",494,85646,28,0,457,2,7
"島根県",556,32023,3,0,551,2,0
"岡山県",7605,165308,25,4,7439,126,15
"広島県",11551,561085,80,8,11283,176,12
"山口県",3169,124469,44,1,3045,80,0
"徳島県",1658,66024,4,0,1591,63,0
"香川県",2106,87860,13,1,2067,31,5
"愛媛県",2755,97182,4,2,2676,75,0
"高知県",1877,11737,66,5,1784,27,0
"福岡県",35781,849922,354,10,34863,523,41
"佐賀県",2570,58356,19,0,2563,24,36
"長崎県",3223,127929,59,0,3096,69,1
"熊本県",6494,82372,28,1,6347,119,0
"大分県",3501,172925,18,0,3419,64,0
"宮崎県",3107,44725,22,0,3048,27,10
"鹿児島県",3716,113060,52,1,3660,39,35
"沖縄県",21200,257125,684,50,20321,201,6
