都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典,入院患者フェーズ,入院患者病床使用率,入院患者即応病床数,重症者フェーズ,重症患者病床使用率,重症患者即応病床数,宿泊療養フェーズ,宿泊療養施設居室使用率,宿泊療養施設施設居室,入院患者受入即応病床数,入院率,重症患者受入即応病床数,宿泊施設受入即応室数,うち社会福祉施設等療養者数,療養先調整中の人数,うち入院先調整中の人数,入院者数（確保病床）,入院者数（臨時）,入院患者受入確保病床（臨時）,うち重症者数（確保病床）,うち重症者数（臨時確保病床）,うち重症患者受入確保病床数（臨時）,うち宿泊療養者数（臨時）,うち宿泊施設受入可能室数（臨時）,臨時施設療養者数,臨時施設フェーズ,臨時施設即応定員数,臨時施設確保定員数,臨時施設確保定員使用率
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2020-06-24,https://www.mhlw.go.jp/content/10900000/000644284.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,北海道,103,99,700,1558,6,100,132,4,930,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,青森県,0,0,144,225,0,29,34,0,30,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,宮城県,5,4,388,400,0,57,60,1,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,山形県,1,1,150,150,1,16,16,0,188,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,福島県,1,1,229,800,0,15,20,0,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,茨城県,5,5,151,1000,0,30,50,0,34,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,栃木県,16,16,271,271,0,41,41,0,111,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,107,81,602,602,3,60,60,10,1055,6,0,10,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,47,40,819,1700,2,82,300,5,736,2,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,453,297,3300,4000,10,400,700,71,2865,46,0,39,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,68,51,2050,2800,10,172,300,12,2431,5,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,0,0,411,766,0,112,112,0,50,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,0,0,500,500,0,20,20,0,100,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,16,16,233,520,1,30,40,0,340,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,0,0,176,350,0,19,19,0,15,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,1,1,80,400,0,13,50,0,21,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,2,2,362,458,1,47,118,0,466,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,4,4,200,400,0,20,20,0,155,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,7,3,500,1500,0,28,400,0,1300,4,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,0,0,176,176,0,34,34,0,64,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,2,2,245,570,0,50,50,0,62,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,16,16,431,431,0,86,86,0,338,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,38,26,1252,1615,3,188,215,8,1565,4,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,6,6,515,515,0,71,71,0,578,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,0,0,434,500,0,25,25,0,108,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,1,1,150,177,0,32,32,0,137,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,0,0,253,253,0,30,46,0,65,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,1,1,220,300,0,11,57,0,78,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,0,0,266,270,0,35,35,0,130,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,0,0,423,423,0,102,102,0,638,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,1,1,172,200,0,47,49,0,208,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,1,1,223,223,1,15,43,0,67,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,16,16,490,1800,2,60,300,0,826,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,0,0,307,903,0,21,29,0,163,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,1,1,378,400,0,48,48,0,1430,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,0,0,258,300,0,35,35,0,700,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,0,0,204,231,0,21,21,0,200,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,0,0,253,253,0,48,48,0,188,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2020-07-01,https://www.mhlw.go.jp/content/10900000/000646554.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,北海道,71,65,700,1558,6,100,132,6,810,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,青森県,0,0,144,225,0,29,34,0,30,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,宮城県,6,4,388,400,0,57,60,2,100,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,山形県,3,3,150,150,0,16,16,0,188,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,福島県,1,1,229,800,0,15,20,0,100,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,茨城県,14,12,151,1000,1,30,50,2,34,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,栃木県,17,17,271,271,0,41,41,0,111,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,205,111,602,602,4,60,60,44,1055,28,0,22,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,85,66,819,1700,1,82,300,7,736,10,0,2,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,876,453,3300,4000,8,400,500,162,1307,103,0,158,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,127,59,2050,2800,7,172,300,51,2431,17,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,2,2,500,500,0,20,20,0,100,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,8,8,233,520,1,30,40,0,340,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,0,0,176,350,0,19,19,0,15,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,0,0,80,400,0,13,50,0,21,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,6,6,342,458,2,47,118,0,466,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,6,6,200,400,0,20,20,0,155,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,7,4,500,1500,0,28,400,0,1300,3,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,0,0,176,176,0,34,34,0,100,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,4,4,161,450,0,50,50,0,62,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,42,35,431,431,0,86,86,3,338,4,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,77,48,1253,1615,3,188,215,23,1565,6,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,13,12,515,515,0,71,71,1,578,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,9,9,434,500,0,25,25,0,108,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,0,0,150,177,0,32,32,0,137,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,1,1,322,300,0,48,48,0,640,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,0,0,253,253,0,30,46,0,65,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,2,2,220,250,0,11,40,0,78,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,4,4,266,270,0,35,35,0,130,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,0,0,423,423,0,102,102,0,638,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,4,4,172,200,0,47,49,0,208,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,0,0,223,223,0,15,43,0,67,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,38,38,490,1800,2,60,300,0,826,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,1,1,307,903,0,21,29,0,163,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,0,0,378,400,0,48,48,0,1430,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,0,0,258,300,0,35,35,0,700,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,1,1,204,231,0,21,21,0,200,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,108,58,253,253,1,48,48,34,188,16,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2020-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,北海道,66,54,700,1558,5,100,132,9,810,3,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,青森県,3,3,158,225,0,29,34,0,30,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04,宮城県,9,7,388,400,0,57,60,2,100,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06,山形県,4,4,150,150,0,16,16,0,188,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07,福島県,2,2,229,510,0,15,50,0,100,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,茨城県,22,15,151,1000,2,30,50,7,34,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09,栃木県,21,20,271,271,0,41,41,0,111,1,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,群馬県,6,6,240,280,0,23,50,0,150,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,埼玉県,334,182,602,602,4,60,60,78,904,32,0,42,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,千葉県,169,126,819,1700,0,82,300,15,736,24,0,4,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,東京都,1406,728,3300,4000,7,400,500,118,371,292,0,268,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,神奈川県,191,92,1979,2200,8,172,170,49,2431,50,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,新潟県,3,3,411,766,0,112,112,0,50,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,富山県,2,2,500,500,0,20,20,0,100,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,石川県,4,4,254,254,1,35,35,0,340,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,福井県,2,2,176,350,0,19,19,0,42,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,山梨県,1,1,80,400,0,13,50,0,21,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,長野県,4,4,300,300,0,33,33,0,200,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,岐阜県,9,9,325,458,2,47,118,0,466,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,静岡県,13,11,200,400,0,20,20,2,155,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,愛知県,15,13,500,1500,0,28,400,0,1300,2,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三重県,4,3,171,171,0,46,46,0,100,1,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,滋賀県,5,5,141,450,1,50,50,0,62,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,京都府,65,53,431,431,1,86,86,3,338,9,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,大阪府,153,97,1254,1615,5,188,215,40,712,16,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,兵庫県,30,28,515,515,0,71,71,2,500,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,奈良県,35,35,434,500,0,25,25,0,108,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,和歌山県,20,20,150,177,0,32,32,0,137,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,鳥取県,2,2,322,300,0,48,48,0,640,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,島根県,1,1,253,253,0,30,46,0,98,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,岡山県,1,1,220,250,0,11,40,0,78,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,広島県,14,14,266,270,0,35,35,0,130,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,山口県,0,0,423,423,0,102,102,0,638,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,徳島県,5,5,172,200,0,47,49,0,208,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,香川県,3,3,163,163,0,15,15,0,101,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,愛媛県,0,0,223,223,0,15,43,0,67,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,高知県,1,1,166,200,0,16,50,0,16,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,福岡県,62,60,490,1800,4,60,300,0,826,2,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,長崎県,14,11,307,903,0,21,29,3,163,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,熊本県,0,0,378,400,0,48,48,0,1430,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,大分県,0,0,258,300,0,35,35,0,700,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,宮崎県,3,3,204,240,0,21,33,0,250,0,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,鹿児島県,102,83,253,253,1,48,48,15,370,4,0,0,2020-07-15,https://www.mhlw.go.jp/content/10900000/000650176.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
