"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者受入確保病床","入院患者受入確保想定病床数","うち重症者数","重症患者受入確保病床数","重症患者受入確保想定病床数","宿泊療養者数","宿泊施設受入可能室数","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","128","95","700","1767","3","100","182","29","810","4","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"02","青森県","1","1","158","225","0","29","30","0","30","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"03","岩手県","5","5","205","350","0","25","45","0","225","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"04","宮城県","7","7","345","450","0","43","65","0","100","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"05","秋田県","17","12","231","235","0","21","27","5","16","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"06","山形県","0","0","215","215","0","25","26","0","188","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"07","福島県","19","19","229","350","1","15","50","0","100","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"08","茨城県","82","54","171","500","0","33","70","6","104","22","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"09","栃木県","44","44","311","311","2","41","41","0","111","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"10","群馬県","108","104","302","330","0","23","50","4","150","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"11","埼玉県","516","323","967","1400","11","102","200","65","1225","104","0","24","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"12","千葉県","482","281","1147","1200","8","101","180","78","710","107","0","16","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"13","東京都","3338","1665","3300","4000","41","400","500","278","3044","690","0","705","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"14","神奈川県","652","300","1939","1939","21","172","200","175","749","177","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"15","新潟県","11","11","456","456","0","112","112","0","176","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"16","富山県","51","48","500","500","3","36","36","3","200","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"17","石川県","138","125","258","254","2","35","35","13","340","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"18","福井県","6","6","190","190","1","24","24","0","75","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"19","山梨県","24","23","285","250","3","24","24","1","21","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
"20","長野県","29","29","350","350","0","48","48","0","250","0","0","0","2020-08-19T00:00","https://www.mhlw.go.jp/content/10900000/000661845.pdf"
