"name","npatients","ncurrentpatients","nexits","ndeaths","lastUpdate","src_url","url_opendata","nseriouspatients"
"Hokkaido",2296,198,1991,107,"2020-10-08T22:28:30","https://www.harp.lg.jp/opendata/dataset/1369/resource/2853/covid19_data.csv","https://www.harp.lg.jp/opendata/dataset/1369.html",
"Chiba",4193,334,3787,72,"2020-10-08","https://www.pref.chiba.lg.jp/shippei/press/2019/ncov-index.html","https://www.pref.chiba.lg.jp/shippei/press/2019/ncov-index.html",
"Tokyo",27117,1927,24773,417,"2020-10-08T19:30","https://raw.githubusercontent.com/tokyo-metropolitan-gov/covid19/master/data/data.json","https://catalog.data.metro.tokyo.lg.jp/organization/t000010?q=%E6%96%B0%E5%9E%8B%E3%82%B3%E3%83%AD%E3%83%8A&sort=score+desc%2C+metadata_modified+desc",
"Toyama",422,9,387,26,"2020-10-07","http://opendata.pref.toyama.jp/dataset/covid19/resource/85d4c612-c174-4f73-be63-f8512d25361a","http://opendata.pref.toyama.jp/files/covid19/20200403/toyama_counts.csv",
"Fukui",248,6,231,11,"2020-10-08T15:00:43","https://www.pref.fukui.lg.jp/doc/toukei-jouhou/covid-19_d/fil/covid19_hospitalization.csv","https://www.pref.fukui.lg.jp/doc/toukei-jouhou/covid-19.html",
"Osaka",10999,451,10327,221,"2020-10-08T18:28","https://raw.githubusercontent.com/codeforosaka/covid19/master/data/data.json","https://github.com/codeforosaka/covid19",
"Hyogo",2838,98,2658,59,"2020-10-08T00:00:00","https://web.pref.hyogo.lg.jp/kk03/documents/yousei.xlsx","http://open-data.pref.hyogo.lg.jp/?page_id=141",10
"Wakayama",240,3,233,4,"2020-10-08T13:00:00","https://www.pref.wakayama.lg.jp/prefg/000200/covid19_d/fil/kansensuii.xlsx","https://www.pref.wakayama.lg.jp/prefg/041200/d00203387.html",
"Yamaguchi",207,8,197,2,"2020-10-08T18:37:28","https://yamaguchi-opendata.jp/ckan/dataset/f6e5cff9-ae43-4cd9-a398-085187277edf/resource/1a5f9bca-3216-45df-8a99-5c591df8f628/download/350001_yamaguchi_covid19_hospitalization.csv","https://yamaguchi-opendata.jp/ckan/dataset/f6e5cff9-ae43-4cd9-a398-085187277edf ",
"Fukuoka",5069,71,4899,99,"2020-10-08T09:01:37","https://ckan.open-governmentdata.org/dataset/fe943202-2db4-44f8-9686-9cf682690bb7/resource/207a6b85-80a5-4297-aba1-a9e0fae93092/download/400009_pref_fukuoka_covid19_totalpatients.csv","https://www.open-governmentdata.org/fukuoka-pref/pages/search?keyword=%E6%96%B0%E5%9E%8B%E3%82%B3%E3%83%AD%E3%83%8A&sort=score+desc%2C+metadata_modified+desc&search_clear=#result_area",
